NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0809 Entries & Exits,0809 Interchanges
5398,2285,2984,4817,10086,2285,2984,4817,10086,20172,0
5906,12361,14276,17613,44250,12361,14276,17613,44250,88500,0
6083,13202,8175,37077,58454,13202,8175,37077,58454,116908,0
1953,5111,11533,4971,21615,5111,11533,4971,21615,43230,0
6233,5382,1974,1811,9167,5382,1974,1811,9167,18334,0
2095,9266,2305,2199,13770,9266,2305,2199,13770,27540,0
1380,1571,2380,3074,7025,1571,2380,3074,7025,14050,0
1004,40636,70859,59156,170651,40636,70859,59156,170651,341302,42559
1074,2229,1407,1679,5315,2229,1407,1679,5315,10630,0
2584,32184,78200,74217,184601,32184,78200,74217,184601,369202,0
8608,170,66,0,236,170,66,0,236,472,0
1624,13076,1542,4091,18709,13076,1542,4091,18709,37418,0
7367,24385,34976,17671,77032,24385,34976,17671,77032,154064,0
9457,7753,7191,2935,17879,7753,7191,2935,17879,35758,0
7017,73161,104411,205232,382804,73161,104411,205232,382804,765608,2527
2215,19960,25935,16473,62368,19960,25935,16473,62368,124736,0
8610,27266,32275,1004,60545,27266,32275,1004,60545,121090,86
3265,3203,2972,1712,7887,3203,2972,1712,7887,15774,0
3200,18869,1482,10623,30974,18869,1482,10623,30974,61948,0
5714,16899,83007,6889,106795,16899,83007,6889,106795,213590,0
1492,159983,180817,205738,546538,159983,180817,205738,546538,1093076,4291
1090,1421,1721,3379,6521,1421,1721,3379,6521,13042,0
5162,19560,12640,16514,48714,19560,12640,16514,48714,97428,0
5197,13622,18587,12744,44953,13622,18587,12744,44953,89906,0
9463,271510,272275,186162,729947,271510,272275,186162,729947,1459894,36342
2187,18957,27350,5860,52167,18957,27350,5860,52167,104334,0
4186,2543,3501,3209,9253,2543,3501,3209,9253,18506,0
5681,27936,20783,21531,70250,27936,20783,21531,70250,140500,0
8552,47912,33428,28283,109623,47912,33428,28283,109623,219246,0
9763,16968,11050,12699,40717,16968,11050,12699,40717,81434,0
5492,9104,14726,28700,52530,9104,14726,28700,52530,105060,0
6084,63990,72724,99984,236698,63990,72724,99984,236698,473396,0
5399,412133,465017,1665119,2542269,412133,465017,1665119,2542269,5084538,270275
9862,84829,100438,115115,300382,84829,100438,115115,300382,600764,0
9013,62,19,122,203,62,19,122,203,406,0
2561,25663,4106,3432,33201,25663,4106,3432,33201,66402,0
2820,6161,5268,489,11918,6161,5268,489,11918,23836,0
8839,1059,1045,0,2104,1059,1045,0,2104,4208,0
4502,195578,377092,217085,789755,195578,377092,217085,789755,1579510,471027
2471,50340,196400,28617,275357,50340,196400,28617,275357,550714,597
2238,25530,51255,21758,98543,25530,51255,21758,98543,197086,0
5348,9503,5764,42248,57515,9503,5764,42248,57515,115030,0
9466,25551,20415,23067,69033,25551,20415,23067,69033,138066,0
7563,1083,1226,805,3114,1083,1226,805,3114,6228,0
2690,49416,4472,12438,66326,49416,4472,12438,66326,132652,0
9764,14166,11524,17913,43603,14166,11524,17913,43603,87206,0
4011,19365,32662,14375,66402,19365,32662,14375,66402,132804,0
7492,320008,365935,1190848,1876791,320008,365935,1190848,1876791,3753582,180279
5133,14622,15081,42073,71776,14622,15081,42073,71776,143552,0
4445,46009,10955,15379,72343,46009,10955,15379,72343,144686,0
5089,92142,128271,562692,783105,92142,128271,562692,783105,1566210,0
5551,166601,178378,484095,829074,166601,178378,484095,829074,1658148,11641
5580,64455,64774,114724,243953,64455,64774,114724,243953,487906,0
6406,7225,20427,2584,30236,7225,20427,2584,30236,60472,1788
5252,78118,143587,215004,436709,78118,143587,215004,436709,873418,772448
9973,14618,9822,6820,31260,14618,9822,6820,31260,62520,0
6774,185399,256824,217533,659756,185399,256824,217533,659756,1319512,13766
5725,8038,129480,4442,141960,8038,129480,4442,141960,283920,0
1096,47105,28061,32996,108162,47105,28061,32996,108162,216324,29541
9674,98600,76884,127333,302817,98600,76884,127333,302817,605634,0
9467,1472,746,214,2432,1472,746,214,2432,4864,0
6212,1193,143,31,1367,1193,143,31,1367,2734,0
1954,78501,138894,19739,237134,78501,138894,19739,237134,474268,12931
1903,12051,10159,8976,31186,12051,10159,8976,31186,62372,0
3805,73395,99046,67686,240127,73395,99046,67686,240127,480254,0
