NLC,"Entries  Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
2556,6452,4534,2168,6739,4548,2168,26609
8233,10582,2212,6581.5,10950,2214,6581.5,39121
4365,11880,22505,9336.5,12997,22553,9336.5,88608
3785,236,153,0,222,142,0,753
5121,299311,1720979,4462808.5,389292,1680618,4462808.5,13015817
6850,17481,166571,111112,15163,170293,110141.5,590761.5
5555,15132,21109,37163,9289,27503,37163,147359
2653,2622,880,0,2373,879,0,6754
5301,6716.703,4803.473,10778.302,7798.901,7290.476,10778.302,48166.157
5595,1005111.144,1850462.647,4143165.0715,1264612.879,1914533.353,4142999.5715,14320884.666
6926,31205.52,82762.507,245826.9105,22638.539,87072.635,244892.4105,714398.522
4069,850,1125,124,1040,1133,124,4396
9792,80955,65988,67029.5,84970,66010,67029.5,431982
4593,959,241,230.5,1366,232,230.5,3259
5556,40952,70137,113317,29684,84082,112088,450260
6274,31508,49335,2588.5,31322,49506,2588.5,166848
9718,9359,6884,2975.5,11218,6884,2975.5,40296
2795,8,15,0,39,46,0,108
3202,34985,3100,9353.5,39673,3110,9353.5,99575
2574,22188,41181,4437.5,17666,41669,4437.5,131579
5048,45777,54795.001,195164.2235,27501.038,64834.044,191605.7235,579677.03
4070,1507,2090,155,1643,2089,155,7639
9855,71691,68869,108625.5,83354,68874,108625.5,510039
9747,12296,8052,2722.5,17336,8057,2722.5,51186
9752,63139,53575,61576.5,64029,53575,61576.5,357471
9762,39012,28533,20049.5,37033,28533,20049.5,173210
5557,46116,82538,113599.5,35721,98840,112512.5,489327
4616,5214,3876,14153,5589,3933,14153,46918
3828,17958,24939,15057,21501,24940,15057,119452
6861,116306,672875,898265.5,110727,696649,896508.5,3391331
6853,11158,37428,24007.5,1543,30525,24007.5,128669
6349,7702,331,1143.5,8115,335,1143.5,18770
5457,9356,13273,8678,10601,14434,8678,65020
2562,9622,15587,4282,9571,15637,4282,58981
4876,8414,8277,3563,10680,8459,3563,42956
2451,28503,86428,12905,26903,86360,12905,254004
3005,364,57,67.5,343,63,67.5,962
7515,417,750,949,413,750,949,4228
1227,21542,14057,11027,22260,14077,11027,93990
6488,7053,14106,2260,7275,13692,2260,46646
8708,552,726,0,1136,740,0,3154
8470,20108,4748,19400.5,20850,4720,19400.5,89227
3624,43112,135426,92,40340,110430,92,329492
2486,2094,3852,466.5,2709,3929,466.5,13517
5458,8211,20339,8540.5,8469,20716,8540.5,74816
3019,17904,30373,33846,19780,33477,33846,169226
5336,1407,1199,8820,1273,1787,8820,23306
3570,10,10,0,26,10,0,56
5821,192,185,981,317,185,981,2841
7504,7386,13781,2020,10230,13784,2020,49221
9627,31680,21539,16308,30616,21539,16308,137990
2049,2211,299,3064,2258,299,3064,11195
8824,625,105,0,758,112,0,1600
8825,3728,1252,0,5084,1260,0,11324
3905,17588,23345,12561.5,16097,23350,12561.5,105503
1143,17364,30249,40159.5,18142,30256,40159.5,176330
4617,8912,16829,3137.5,10869,15695,3137.5,58580
5896,81660,123091,48647,79667,121251,48647,502963
8056,36378,42542,39012.5,40148,42696,39012.5,239789
8505,5550,3407,518.5,5999,2864,518.5,18857
5408,50076.642,113711.48,257484.6995,37793.444,146942.241,256427.6995,862436.206
1030,329883,701025,178686,330267,696629,178686,2415176
5409,296,1076,1950.5,295,1620,1950.5,7188
9185,13410,21579,7633.5,15415,21573,7633.5,87244
4639,39164,48713,56755,37513,50966,56755,289866
9970,14652,16451,34045.5,13772,17151,34045.5,130117
7579,9058,2088,2971.5,8148,2084,2971.5,27321
3634,8062,13631,3188.5,8659,13651,3188.5,50380
5484,101274,320534,183680,110008,320574,183609.5,1219679.5
5100,41622.192,62764.294,290038.945,32405.377,71040.319,287997.945,785869.072
5754,4880,6584,2172.5,6083,6602,2172.5,28494
6837,196,2058,10299.5,1994,2438,10299.5,27285
2225,21455,31953,247.5,14763,22995,247.5,91661
1874,5907,11677,344.5,4623,11498,344.5,34394
1243,224204,404919,93736,212795,405271,93736,1434661
5832,4793,32670,1243.5,5159,33181,1243.5,78290
6007,1879.012,4481.084,1362.5,7276,4453.084,1362.5,20814.18
8826,3524,2055,0,3279,2064,0,10922
4312,3502,4391,392.5,3438,4360,392.5,16476
1519,42726.423,86903.327,124539.049,21437.838,88240.327,124539.049,488386.013
9778,26027,17744,27543,26113,17754,27543,142724
5078,28835.592,36797.992,128371.687,16201.805,41468.105,125606.687,377281.868
7295,13970,23794,406,14998,23849,406,77423
1822,4487,4849,418.5,4628,4875,418.5,19676
9628,14839,11971,3235,17439,11972,3235,62691
8473,85072,48540,14412,83404,45409,14412,291249
8554,30824,28372,4069.5,36963,27100,4069.5,131398
9814,37283,28076,132208,41874,28072,132208,399721
9796,56426,30729,35216.5,61801,30732,35216.5,250121
2313,8479,11530,1116,9494,11538,1116,43273
7406,10286.709,5986.974,13194.255,10341.351,6157.079,13194.255,59160.623
5325,7584,14846,34235.5,6413,16543,34235.5,113857
5233,1717,6408,8194,1778,6997,8194,33288
6524,3903,2915,1154.5,3805,2913,1154.5,15845
5628,29879,34687,44790,38096,36419,44790,228661
1396,104,84,955,141,179,955,2418
9943,49760,34837,54956,52318,34842,54956,281669
2876,2,1,0,2,1,0,6
5356,59196.908,124831.3,203567.4265,35866.786,136647.37,196916.4265,757026.217
2305,9311,10954,1295.5,9591,10965,1295.5,43412
6008,48169,52390,157745,40857,52770,157628.5,509559.5
3107,3379,2033,5528.5,4293,2095,5528.5,22857
8625,543,348,0,627,348,0,1866
9721,35936,25306,22177,38624,25314,22177,169534
9121,18071,32954,7866,20141,32980,7866,119878
9218,12475,5331,6395.5,11622,5330,6395.5,47549
6964,4047.497,7411.024,26930.54,3179.306,7486.024,26930.54,75984.931
5201,7320,9946,5670,6858,12677,5670,48141
3981,3616,6167,1837,3136,6165,1837,22758
3738,20431,35345,7379.5,23243,35373,7379.5,129151
4147,610,401,0,811,431,0,2253
7440,8120.825,4293.231,12140.6805,9718.282,4105.239,12125.6805,50503.938
2777,14017,19035,9282,11044,21786,9282,84446
9135,20787,21723,33628,23620,21909,33628,155295
8711,494,396,10,565,400,10,1875
9790,16239,11008,5174.5,16108,11008,5174.5,64712
9415,45734,27335,53354,51863,27337,53354,258977
9992,142906,87335,90949,158340,87351,90949,657830
9864,43991,30193,99826.5,39708,30193,99826.5,343738
9483,22606,17171,15418.5,27025,17171,15418.5,114810
2077,7223,187,1401.5,8067,186,1401.5,18466
1429,52607.323,92572.48,442685.2135,28152.99,91626.48,442680.2135,1150324.7
1957,3965,4811,1129,3756,4823,1129,19613
8628,618,292,0,773,291,0,1974
7915,1685,2613,5866.5,1722,2615,5866.5,20368
2982,0,2,0,1,2,0,5
3797,6834,5345,5066,7022,5343,5066,34676
4519,1764,1047,469,1661,1127,469,6537
7877,268393,370377,82422.5,268581,369838,82422.5,1442034
6729,1056,1095,605,1160,1139,605,5660
7211,3869,7306,559.5,4521,7340,559.5,24155
5101,206263,432688,616515,186528,436221,610727.5,2488942.5
8420,15679,21780,5931.5,16506,21705,5931.5,87533
2576,14590,30755,5511.5,17416,31411,5511.5,105195
5668,21304,37148,33126,22205,43392,33081,190256
2770,18893,25539,16686.5,15981,28373,16686.5,122159
3408,24399,59685,42003,25116,59698,42003,252904
3409,2625,16991,1339.5,5377,17011,1339.5,44683
5011,27011,80402,98217.5,25749,82939,98217.5,412536
5942,1571,1116,1019.5,1865,1124,1019.5,7715
2877,1855,5051,1485,2227,5950,1485,18053
2963,1927,5858,1674,2575,5288,1674,18996
5412,286,542,3705,375,556,3705,9169
2480,2520,471,1602.5,3164,539,1602.5,9899
8441,7724,5274,114.5,6883,4010,114.5,24120
2306,2432,5312,255.5,2910,5324,255.5,16489
8432,8458,11253,827,9471,11127,827,41963
3052,16880,33743,19972.5,12105,33714,19917.5,136332
3060,1744,2639,4487.5,2382,2653,4487.5,18393
5421,84330.146,167174.738,409371.3295,77956.491,162892.027,409371.3295,1311096.061
2103,3545,1376,0,3817,1383,0,10121
2855,13,54,0,24,56,0,147
5145,38041.156,67771.593,88107.168,34719.998,68338.69,88086.668,385065.273
1823,324775,636517,116789.5,325126,635472,116789.5,2155469
7212,2528,4933,547,2676,4936,547,16167
2652,2186,5260,1044.5,1863,5985,1044.5,17383
3579,7769,2696,3617,9341,2699,3617,29739
8326,120481,164868,7844.5,121537,165825,7844.5,588400
3030,167661,320734,344810.5,169950,324506,344810.5,1672472
5753,14172,9160,11409,13586,9159,11409,68895
5502,1460,1452,1194,1681,1445,1194,8426
3901,4738,11094,3456,5151,11090,3456,38985
3830,17305,27903,12295,22239,27920,12295,119957
3861,2348,4761,995.5,2803,4760,995.5,16663
8632,13917,2992,50,6685,2990,50,26684
7897,3487,1403,1972.5,3091,1403,1972.5,13329
2893,8529,8335,7187,7979,9570,7187,48787
2765,8315,16809,900.5,8041,17044,900.5,52010
7348,30107,92654,29469,32444,96230,29469,310373
2289,2,7,0,0,7,0,16
3588,1670,634,160,1603,633,160,4860
6781,2662,4828,883,2609,4844,883,16709
4188,370,368,0,371,339,0,1448
5036,194,511,588,264,541,588,2686
2538,423,41,0,723,39,0,1226
2452,5066,466,503,4713,464,503,11715
6417,403317,611715,153673.5,408505,617258,153673.5,2348142
5961,37364,129679,26721,35689,129191,26721,385365
5962,31,83,61,34,81,61,351
6690,13193,8457,1385,12308,8630,1385,45358
5357,103775,224598,224492.5,97377,239422,222572.5,1112237
5297,10,26,5,14,19,5,79
5413,4404,8289,29887.5,3591,9779,29887.5,85838
4525,38094,59000,58242,35455,59619,58242,308652
2766,744,2566,5,1216,2584,5,7120
5033,87684,281958,92513,89617,266263,92513,910548
6901,4060,30428,25663,3659,30395,25663,119868
4436,447,160,57,515,161,57,1397
7055,20923,51464,26727,21200,52881,26727,199922
3099,490.002,771,1468,774.016,1912,1468,6883.018
6000,20078.475,11278.638,15211.587,9423.451,11294.27,15211.587,82498.008
9317,13350,9472,10043,15965,9478,10043,68351
8057,26283,31427,22817.5,28717,31447,22817.5,163509
1994,907,338,61.5,885,347,61.5,2600
4878,72338,30815,45589.5,78021,31808,45589.5,304161
6616,5120,709,1113,4092,708,1113,12855
9994,62330,38065,24327,66235,38068,24327,253352
9967,4694,3640,1638.5,6104,3640,1638.5,21355
9757,25120,17660,14950,25803,17660,14950,116143
9993,40717,30507,20919.5,37688,30507,20919.5,181258
1040,15013,9112,2279.5,14809,9095,2279.5,52588
1212,20139,26286,4578.5,19444,26187,4578.5,101213
1691,8047,3765,1061.5,7584,3779,1061.5,25298
8681,143,65,0,150,65,0,423
9906,3976,1999,888,5389,1999,888,15139
7027,2211,860,2723.5,2736,858,2723.5,12112
9866,115533,95652,103088,134859,95632,103088,647852
9868,70238,45827,10904,75408,45829,10904,259110
9622,19852,15641,5135.5,25314,15644,5135.5,86722
9490,7169,101716,2447.5,8335,102050,2447.5,224165
5034,3108,4982,3787.5,4099,5696,3787.5,25460
9397,5674,48863,32150.5,5739,53046,32150.5,177623
8713,59354,78729,31412.5,61317,78802,31412.5,341027
5944,2238,2036,930,2238,2091,930,10463
8682,183,45,0,208,45,0,481
9039,114208,324766,53925.5,113234,324337,53925.5,984396
9186,60547,75740,78781,66443,75284,78781,435576
8763,1973,3423,51.5,2605,3432,51.5,11536
9492,10226,10928,6777,11952,10897,6777,57557
8642,124,82,0,979,82,0,1267
7744,34,27,1,85,28,1,176
5102,1822,1712,9992.5,3240,3233,9992.5,29992
7745,158145,391473,60601.5,162457,390401,60601.5,1223679
5282,37006,72379,88612,37648,72698,88612,396955
8905,84951,24562,18143.5,85606,24573,18143.5,255979
4455,2874,2936,987.5,2991,3046,987.5,13822
7916,10224,6203,6821,11469,6215,6821,47753
3190,146342.5,855579.373,1705060.983,136648.693,847196.897,1636735.483,5327563.929
2292,31960,40564,10277.5,31604,39558,10277.5,164241
5694,45097,46064,49461,45946,47185,49461,283214
5584,205401.219,280647.505,759331.5595,192886.362,292974.016,740429.0595,2471669.721
5414,10876,6317,37707,9927,9573,37689.5,112089.5
4520,3779,9358,16010,3804,9441,16010,58402
7746,35085,35091,1656,32930,25190,1656,131608
5355,993641.846,2449277.278,3017223.168,1072007.798,2485000.906,3016289.168,13033440.164
2949,14050,18239,7437.5,13372,19698,7437.5,80234
5358,32988.588,58349.676,166372.977,18281.751,66341.846,166372.977,508707.815
5234,2108,3173,1412,2524,3357,1412,13986
8472,51922,24916,18791,46709,24308,18791,185437
5486,50313,174034,205351.5,39627,188783,205207.5,863316
9793,116368,79117,78040,112335,79203,78040,543103
5134,4952,12587,16781.5,5117,16981,16781.5,73200
7471,23611,35924,69916,23719,36648,66041.5,255859.5
5283,15016,25176,80270,24784,27029,80270,252545
5448,115041,608125,263561.5,116109,616997,263294,1983127.5
3795,18569,29655,12537,20314,29654,12537,123266
9894,47634,24516,34630.5,46248,24516,34630.5,212175
2128,23276,35719,909,17234,31228,909,109275
5899,105444,186395,146340.5,102423,190024,146335.5,876962
8114,376,61,92.5,490,59,92.5,1171
2950,11619,20074,8445.5,11116,21678,8445.5,81378
7370,341,132,453,429,132,453,1940
2227,6430,8822,77,5415,8944,77,29765
2824,7633,15401,648.5,8648,15433,648.5,48412
5056,26212,25134,89963.0225,19934.006,29607,89757.5225,280607.551
5473,17158,40193,29108,19762,50175,29097.5,185493.5
5359,7328,10149,27198,3663,9843,27198,85379
2169,9033,8997,137.5,9790,9908,137.5,38003
9328,1540450,2688495,1103176.5,1514139,2672023,1103176.5,10621460
6941,114113.084,131275.053,423936.2575,67957.068,127103.07,415702.7575,1280087.29
5642,28089,38258,57754,17117,50562,57749,249529
5822,1900,3884,7665,2455,3895,7665,27464
5669,110400,276076,170379,107028,285257,169606.5,1118746.5
7918,1047,1009,5272.5,1186,1009,5272.5,14796
5246,45185,62264,82053,61990,52561,82053,386106
8977,29880,41807,6737.5,31954,41791,6737.5,158907
2121,51468,41639,8615.5,63826,41786,8615.5,215950
5049,31889.101,36824,172090.5075,19701.14,42905,169306.5075,472716.256
5135,56863,76287.004,253709.0875,39112.035,84925.006,252979.5875,763875.72
7349,7456,1828,614.5,7142,1836,614.5,19491
6667,17377,35395,6685.5,18635,34905,6685.5,119683
6832,15448,19120,70871,13803,23870,70871,213983
1542,99174.799,283285.133,373074.5,85498.91,293471.828,371555,1506060.17
5103,137187.342,194269.027,528177.7465,89597.561,215862.192,524171.7465,1689265.615
6238,51,10,0,52,10,0,123
7068,97353,137672,86769.5,99545,138074,86769.5,646183
7473,1058.661,1091.208,6661.064,4929.308,1303.208,6171.064,21214.513
5257,27106,39021,27087.5,30914,40019,27087.5,191235
6010,65165.349,64341,220004.6475,27496.548,63004,219747.1475,659758.692
6815,32588.182,31314.046,90823.7745,30070.953,34377.046,86882.2745,306056.276
6959,113033.805,141133.788,249650.1385,93404.744,136290.798,248998.1385,982511.412
2747,1586,3383,125.5,1413,3401,125.5,10034
5360,285319,472479,504970,260198,480275,497524.5,2500765.5
5361,3184,6917,8496.5,2613,8099,8496.5,37806
1041,54656,51858,11366.5,55697,51818,11366.5,236762
5459,2124,2567,5438,1468,3372,5438,20407
5104,37589.252,49944.541,120596.804,25621.839,54972.629,118377.304,407102.369
5558,66783,114773,133567,65386,115438,131922.5,627869.5
6004,29048.883,16394.934,123848.5505,16570.04,16146.143,123838.5505,325847.101
5217,10610,27748,61906.5,9142,31138,61906.5,202451
1294,2953,748,252,3661,763,252,8629
1444,1776284,7146239,6030334.5,2424822,7003578,6030329.5,30411587
2080,9878,3466,1149.5,10518,3534,1149.5,29695
4740,23784,62055,16062.5,25482,62073,16062.5,205519
5415,36988,52101,95898,42437,52366,95021.5,374811.5
5586,57054,79830,166896.5,46423,87080,164805.5,602089
5755,84646,229610,154899.5,77561,223128,154899.5,924744
3410,140744,467813,96568.5,139239,468973,96568.5,1409906
3414,6531,6945,3987.5,6069,6950,3987.5,34470
9914,55652,82441,20129.5,54026,82760,20129.5,315138
5756,53668,146991,62558,59176,148662,62558,533613
5760,1447,2607,1215.5,1763,2607,1215.5,10855
5065,10008,12835,19377,5809,17034,19377,84440
2951,6433,11100,2306,6034,13738,2306,41917
4416,9509,8064,1505,9093,7882,1505,37558
2780,1102,1018,778.5,1174,1237,778.5,6088
9452,7250,4526,3199.5,8410,4530,3199.5,31115
3873,2411,2436,2610.5,2417,2439,2610.5,14924
5137,53371.003,53610.001,207957.5085,33632.76,62588.238,204871.0085,616030.519
9930,128733,139209,85990.5,167772,139273,85990.5,746968
9931,43526,72739,78351.5,23715,72580,78351.5,369263
8726,37,20,0,31,20,0,108
5337,75187,258515,44711,69909,256045,44711,749078
3508,9787,10491,31.5,10775,10349,31.5,41465
3591,14582,21185,310,16069,21559,310,74015
6875,2310,5530,42055.5,2586,6295,42055.5,100832
5900,126895,216421,139835,128541,218776,139830,970298
5521,218213,326064,406958.5,211830,337247,406858,1907170.5
5688,186,310,1509,197,282,1509,3993
5643,69576,83687,101529,63996,86044,101440,506272
5545,93967,200160,201159.5,88612,214479,201101,999478.5
5105,11393,23670,56425,8518,26845,56425,183276
2811,2160,5395,625.5,1849,5825,625.5,16480
9245,7374,5541,2420.5,7863,5541,2420.5,31160
5167,79342,199780,327870.5,73299,205203,327870.5,1213365
5493,614,402,1145,764,448,1145,4518
2126,42012,71349,1077,41787,71923,1077,229225
8637,353,133,0,237,133,0,856
8544,14577,15183,70.5,14506,14181,70.5,58588
7214,13540,32338,3811,15585,32598,3811,101683
5559,103147.213,219439.249,220480.405,96740.538,225106.776,211600.905,1076515.086
7490,685918,1242458,7100114,977571,1176281,7099366.5,18281708.5
5808,6530,12881,7382.5,6345,12314,7382.5,52835
1377,1897,4953,4119.5,2330,5046,4119.5,22465
3862,3149,5531,1439.5,2351,5531,1439.5,19441
8061,19361,1593,5268,21508,1587,5268,54585
4074,1998,2650,1851.5,2261,2646,1851.5,13258
4066,384,396,0,351,384,0,1515
8062,15966,33469,6603.5,16524,33465,6603.5,112631
3235,58135,15282,98761,57790,15157,98761,343886
1445,19167.104,33946.996,81535.333,31571.937,33434.146,81535.333,281190.849
6119,145980.991,410137.389,836054.4545,154651.416,383612.933,834116.4545,2764553.638
3012,554,77,87.5,803,79,87.5,1688
5261,4087,6881,7862.5,5164,7412,7862.5,39269
5284,10571,18393,11429.5,17663,20279,11429.5,89765
4076,2811,9250,0,3030,9244,0,24335
6351,2008,258,148.5,2143,258,148.5,4964
8583,22173,28207,383,22527,26221,383,99894
4503,87516,58220,9774,96845,57413,9774,319542
5522,88831,156394,253483,84986,167397,253460.5,1004551.5
2026,2316,921,948.5,2366,918,948.5,8418
2513,23213,48602,10994.5,23030,48741,10994.5,165575
1532,55164,162780,237272.5,43008,177276,237272.5,912773
2935,6426,10740,4194.5,4993,12443,4194.5,42991
2786,11469,16723,8606,12124,22345,8606,79873
5035,63399,187193,144474,64385,193737,144459,797647
5027,7269,9031,19099,6324,8196,19099,69018
5258,6292,18664,6201,6719,19901,6201,63978
6876,69183.467,138750.391,396794.433,47175.375,130143.568,378585.933,1160633.167
5362,123742.498,243882.736,550910.5735,59347.998,265155.24,546161.5735,1789200.619
2354,76791,116262,951,68628,113086,951,376669
8638,11117,13849,3176.5,11717,13866,3176.5,56902
8639,337,261,0,346,260,0,1204
9675,13655,10075,7748,12742,10442,7748,62410
8827,38900,14167,0,29995,14366,0,97428
1042,42125,44626,69710.5,39592,44684,69710.5,310448
2046,1392,4630,790.5,1371,4998,790.5,13972
7029,2990,4712,10551,5480,5517,10551,39801
5218,6341,7214,33674,6261,8617,33674,95781
5509,138376,216372,79639,127026,210945,79639,851997
2355,45384,67607,119.5,52274,79380,119.5,244884
3344,3487,3061,1607.5,4362,3057,1607.5,17182
5683,32904,37881,20427,31485,39273,20099.5,182069.5
6854,6032,38258,37364,6400,39324,37364,164742
8556,43741,21527,5664.5,38463,19856,5664.5,134916
2284,22463,14872,5331,27554,14882,5331,90433
5707,12334,16963,7195.5,12901,17115,7195.5,73704
5587,23250.127,33991.046,75698.283,13894.15,36482.046,71930.783,255246.435
2952,3085,5480,2901,3154,5482,2901,23003
3144,16067,14519,28884,15748,17031,28884,121133
6465,3,2,0,6,2,0,13
6424,16628,7634,2367.5,18377,7618,2367.5,54992
9971,792,564,15.5,1007,566,15.5,2960
8474,98286,45728,33680.5,87449,44633,33680.5,343457
2654,4616,899,291.5,4994,899,291.5,11991
9904,71505,48744,50908.5,72679,48745,50908.5,343490
9979,46355,25663,21357.5,45317,25662,21357.5,185712
2104,4639,1579,199.5,4574,1582,199.5,12773
1559,6589,13673,13171,2654,17668,13171,66926
2228,29047,55633,745,31137,62294,745,179601
2335,30664,26235,2500,28987,26203,2500,117089
4148,376,249,0,329,239,0,1193
3961,2533,4225,531.5,2217,4226,531.5,14264
8640,2252,258,0,1401,257,0,4168
2397,4197,6063,3408.5,3732,6093,3408.5,26902
2953,18094,28425,12222.5,14313,30362,12222.5,115639
5416,2430675,1468047,248500.5,2366565,1327418,248219,8089424.5
8641,351,301,0,183,301,0,1136
3051,95654,207318,135700,87998,207582,135614,869866
6877,99659.293,160043.849,695611.326,70296.644,160530.903,640944.826,1827086.841
9794,57182,53462,36100.5,64706,53470,36100.5,301021
2655,3940,1077,40,4022,1085,40,10204
8117,12768,10922,7556.5,14241,10926,7556.5,63970
4022,2141,3886,3249.5,2448,3886,3249.5,18860
5796,21597,78900,22976,19640,81150,22976,247239
5169,172564,344943,392329,163172,358745,392329,1824082
5363,67271.855,149762.919,318093.312,47644.896,158131.294,314624.812,1055529.088
9501,20066,11120,7335,22070,11127,7335,79053
7921,1163,1166,10188,1669,1166,10188,25540
2454,2799,71,11262,2707,71,11262,28172
9813,4072683,4393950,2344223,4215127,4392157,2344223,21762363
9950,627526,359691,451115,106466,357988,451115,2353901
2301,4995,5797,4027.5,5040,6285,4027.5,30172
8715,3674,4722,743.5,4644,4770,743.5,19297
8828,1462,171,0,1717,170,0,3520
9503,40458,38153,33134,49798,38157,33134,232834
9301,4996,6963,4502.5,6315,6975,4502.5,34254
2895,50669,130242,40240.5,47831,131428,40240.5,440651
4760,93640,220212,32759,93571,219305,32759,692246
5338,2613,8613,4409.5,4975,9279,4409.5,34299
4457,15752,36122,2953.5,16928,36142,2953.5,110851
5629,86341,132050,196339.5,80756,140774,196334.5,832595
2948,4999,6228,2988.5,4873,7651,2988.5,29728
5474,7459,13240,8047,5806,16321,8047,58920
8284,5178,11400,1138.5,4914,11396,1138.5,35165
9096,9,7,0,66,7,0,89
8643,1566,446,0,2533,446,0,4991
5298,2217,5697,2373,1725,6244,2373,20629
6878,59398.17,103905.93,464405.2965,52051.544,103700.948,443456.2965,1226918.185
8025,30717,41718,13876.5,30976,41766,13876.5,172930
1220,5114,5640,633.5,6024,5653,633.5,23698
6028,43037.373,48005,176285.275,28098.441,48014,176285.275,519725.364
3033,35312,63148,71627.5,38491,68031,71517,348126.5
5272,18602,51254,77849,19733,52929,77849,298216
2962,10110,16717,3869.5,8008,19184,3869.5,61758
1409,43472.44,62479.34,159978.5395,36389.237,60371.759,159738.5395,522429.855
9635,73373,46338,42566,73027,46319,42566,324189
4131,1177,1423,216.5,1557,1443,216.5,6033
6206,10566,79,1788,10380,79,1788,24680
6029,22055.018,15658,47706.064,13246.283,15964,47706.064,162335.429
1965,26556,35288,6805,26038,35331,6805,136823
3839,19697,18000,18503,20964,18000,18503,113667
6469,86200,151315,83496.5,89375,147911,83496.5,641794
5514,5798,7151,31775,5332,8760,31775,90591
1132,35942,37430,5747.5,36196,37396,5747.5,158459
5172,131909,333256,355391.5,105461,356967,354997,1637981.5
7443,159458,200091,636758,132164,210015,604608,1943094
7922,691,1494,0,638,1494,0,4317
6855,2067,18773,9770.5,2119,19705,9770.5,62205
7032,5991,4491,26026.5,8593,5343,26026.5,76471
6275,4309,7,407,4066,7,407,9203
4892,82852,51091,54541,84897,50888,54541,378810
1463,44402,64868,66579.5,37622,65046,66579.5,345097
7328,44632,148901,6534,47036,147236,6534,400873
2218,46712,58349,594.5,61183,107385,594.5,274818
1996,1136,1083,1222.5,1085,1356,1222.5,7105
2325,20681,14169,3939,18966,14179,3939,75873
9725,10723,7833,4209,10371,7833,4209,45178
2900,12954,25451,6381.5,10999,27221,6381.5,89388
5138,23475,27544,73814.5,23702,30467,73337.5,252340
9681,48183,47625,22625,48795,47517,22625,237370
9682,78216,65174,54048,78155,64720,54048,394361
5146,134655.147,219000.032,391938.752,127844.666,218649.899,389142.252,1481230.748
9610,1143,5401,522.5,1576,5451,522.5,14616
6276,1902,33,353,2376,35,353,5052
6280,59628,97032,11211,59040,97598,11211,335720
2825,8354,6953,108,8485,6949,108,30957
8155,3421,4284,5914,3224,4283,5914,27040
5139,131497.1,158382.298,498402.937,70202.731,180648.375,497574.937,1536708.378
2955,14425,21988,13803,14136,23278,13803,101433
5631,465351,1442807,748529,482802,1437858,748413,5325760
8567,115034,107956,3585.5,110683,103707,3585.5,444551
5588,320616.992,148050.928,297916.7745,132295.611,143135.095,289094.2745,1331109.675
3563,6330,8248,1929,6971,8245,1929,33652
7299,2166,1638,27.5,2292,1668,27.5,7819
4300,13738,1102,160,13125,1102,160,29387
7930,4196,411,133.5,3216,411,133.5,8501
6281,7626,3101,3108,8705,3271,3108,28919
5364,27274.163,59512.637,159075.828,18203.139,65373.641,157465.828,486905.236
6977,31134.107,59239.37,181103.489,22281.622,61294.421,181103.489,536156.498
6867,71363.135,84293.086,318274.1505,54366.105,81959.024,317224.6505,927480.151
6978,1364.51,14409.952,69269.918,7743.812,15080.11,69269.918,177138.22
3053,24217,45342,58469,22505,45338,58469,254340
7300,1113,646,93.5,1325,648,93.5,3919
2896,29677,66307,21182,22115,71296,21182,231759
6075,17313.808,16191.426,38146.79,19329.045,16240.574,37633.79,144855.433
2585,4132,8611,1850.5,3399,8753,1850.5,28596
4577,24962,12192,66713,25209,12120,66713,207909
9810,47769,30529,18121.5,44094,30531,18121.5,189166
2845,15824,12427,6313,13876,13168,6313,67921
7266,10160,9151,1127.5,10952,9173,1127.5,41691
2295,8919,8425,1506,6846,8530,1506,35732
8411,146245,206578,8525.5,148587,205939,8525.5,724400
4521,22385,26109,2916.5,23020,26120,2916.5,103467
2572,4409,5537,3140.5,3889,6503,3140.5,26619
2229,10381,19465,433,10292,18383,433,59387
5173,7070,10389,7770,7293,12230,7770,52522
7568,8576,12523,5943,9460,12526,5943,54971
5037,4230,7998,12335.5,4539,10094,12335.5,51532
5947,4700,5023,5319,5430,6032,5319,31823
9726,118334,97981,89379,135825,97899,89379,628797
9727,81891,56548,60217.5,72752,56544,60217.5,388170
8241,5098,4216,2724.5,5873,4668,2724.5,25304
5450,44401,75893,40443.5,43142,81148,40443.5,325471
1413,39138.42,73521.036,93854.674,43859.916,69416.41,93751.174,413541.63
5560,45344.234,100389.029,183945.9935,27058.291,105952.029,178890.4935,641580.07
5561,57351,257362,166942.5,38887,256017,160191,936750.5
5589,43475.297,62481.128,100763.421,31015.294,65034.229,98037.921,400807.29
1033,12750,12985,10167,13247,13008,10167,72324
1145,18068,22372,904.5,20179,22352,904.5,84780
5940,13854,17441,11137.5,13595,18128,11137.5,85293
3007,13496,10907,4753,14764,11157,4753,59830
2767,31949,30106,15468,36018,30094,15468,159103
3191,24181.24,29333.048,80990.092,16167.516,31633.528,78729.092,261034.516
2557,2814,2826,764.5,3197,2830,764.5,13196
4458,6374,7455,44770.5,6238,7569,44770.5,117177
1521,40219.426,87643.23,187958.89,39354.635,83370.034,177021.89,615568.105
7374,747,404,458,949,403,458,3419
1533,23029,46925,78242,18573,50088,78242,295099
6804,17152,12214,35467.5,19415,13791,35092.5,133132
6827,186016,222984,237962,177611,222464,234463.5,1281500.5
6879,102875.29,174492.005,635691.871,97630.044,170794.988,579652.371,1761136.569
