NLC,"Entries  Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
1074,3448,1014,842.5,3195,1039,842.5,10381
2584,22179,41533,21379,19261,45405,21379,171136
8608,85,44,0,141,44,0,314
1624,11174,1260,2454,11277,1276,2454,29895
7367,11209,9622,2012.5,12018,9657,2012.5,46531
9457,4317,4577,1625,5168,4591,1625,21903
7017,39987,87766,204388.5,37289,98138,204383.5,671952
2215,16669,14985,12017,15922,15059,12017,86669
8610,9675,20434,346,10077,20480,346,61358
3265,1343,1228,431,1652,1228,431,6313
3200,13655,1573,5698.5,13441,1593,5698.5,41659
5714,9472,68874,23179.5,9162,70668,23179.5,204535
1492,93617,198615,138731,72239,199865,138731,841798
5162,17263,14265,10616.5,17109,15022,10616.5,84892
5197,8209,17265,9397.5,7494,18421,9397.5,70184
9463,236694,228154,117739,223800,228031,117739,1152157
2187,15689,13591,3389,14906,13611,3389,64575
4186,3423,4107,1179.5,4401,4110,1179.5,18400
5681,13657,14201,11820,16001,16479,11820,83978
8552,45257,27665,2983.5,53541,26516,2983.5,158946
9763,11841,10795,4228,16166,10800,4228,58058
5492,6093,14288,24174.5,6273,16250,24174.5,91253
6084,24337,41609,63492,26502,45110,63492,264542
5399,201383.164,352058.735,693042.174,175479.396,366734.098,679987.174,2468684.741
9862,68198,68761,93539.5,65868,68735,93539.5,458641
9013,17,149,20.5,28,149,20.5,384
2561,23044,5033,4222,22378,5043,4222,63942
2820,4784,3214,292.5,4005,3208,292.5,15796
8839,709,109,0,833,112,0,1763
4502,121066,174076,86650.5,116080,174561,86650.5,759084
2471,42565,187788,27697.5,38265,186705,27697.5,510718
2238,14062,17015,5,16002,19861,5,66950
5348,2142,3902,23338,4468,7661,22851,64362
9466,19981,18010,14950.5,24903,18031,14950.5,110826
7563,1537,739,1421.5,1550,739,1421.5,7408
2690,44718,7639,10178.5,45522,7650,10178.5,125886
9764,8795,9031,3295.5,9886,9030,3295.5,43333
4011,11691,35937,15541.5,12524,35952,15541.5,127187
7492,395766.453,468660.565,1293687.523,257781.1,436446.152,1202165.023,4054506.816
1279,3445,457,1940,4423,469,1940,12674
5133,6386,8975,23216,6144,10007,23216,77944
4445,22798,23945,19218.5,21473,23542,19218.5,130195
5089,79047.916,100295.063,425353.377,46736.929,111253.165,419811.377,1182497.827
5551,86362.539,107586.03,183775.8115,75652.145,116827.326,177148.8115,747352.663
5580,25725.281,20251.121,15016.254,28136.912,25361.312,15006.254,129497.134
6406,4011,9933,1362.5,4931,10133,1362.5,31733
5252,46284,109056,119662,49939,109500,119657,554098
9973,4949,1025,482,5150,1025,482,13113
6774,99947,204224,16035.5,94690,203350,16035.5,634282
5725,15723,69360,16074,14875,69261,16074,201367
1096,35085,17496,15474.5,50231,18069,15474.5,151830
9674,75893,65820,74095.5,82783,65855,74095.5,438542
9467,992,900,10,1291,900,10,4103
6212,1217,6,229,1548,7,229,3236
1954,42060,158459,46011.5,41215,155699,46011.5,489456
1903,16832,2823,4423.5,15197,2816,4423.5,46515
3805,46557,74098,48654,44659,74143,48654,336765
3806,18284,28963,10191.5,18894,28969,10191.5,115493
3807,12936,67270,16889,16816,67320,16889,198120
9020,39,89,0,21,89,0,238
6207,20514,161,2207.5,20753,167,2207.5,46010
7494,177269,255451,431898,154354,260883,407116.5,1686971.5
5520,312139,605128,592142.5,305521,612900,592027,3019857.5
5090,4757,4915,17222,7603,7169,17222,58888
3271,355813,811379,217856,352015,806071,217856,2760990
9311,100849,96515,51597.5,104530,97290,51597.5,502379
8484,22729,20774,1904,27943,19706,1904,94960
7909,172,497,0,343,503,0,1515
5420,121367.881,159806.049,415818.801,149772.837,157202.026,415813.801,1419781.395
5215,23475,88734,95062.5,21221,92381,95062.5,415936
6870,436,1010,1600.5,934,1117,1600.5,6698
6006,533,1547,4167.5,2533,1579,4167.5,14527
3047,89202,206187,142518.5,87181,206461,142242,873791.5
2420,367,245,20,495,274,20,1421
9966,80497,47775,38824.5,86448,47774,38824.5,340143
5091,19232,37353,80416,19587,39903,80416,276907
8822,183,48,0,233,49,0,513
5890,681,1377,555,939,1429,555,5536
