NLC," Entries Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
1492,70423,171331,109623,61411,172887,109623,695298
5162,17319,14835,9750,16218,15010,9750,82882
5197,8748,18870,9880,7938,20166,9880,75482
9463,239229,260664,76271,230122,260657,76271,1143214
2187,16060,15099,3190,15598,15120,3190,68257
4186,3866,5093,1928,4872,5094,1928,22781
5681,10711,14600,14664,13469,16906,14664,85014
8552,43258,25368,2803,51118,24189,2803,149539
9763,12624,10712,3403,15626,10713,3403,56481
5492,4219,10887,23175,4453,13892,23175,79801
6084,19969,35498,56976,21553,38381,56976,229353
5399,172348,315102,335390,135847,329861,335390,1623938
9862,69826,70170,51479,68105,70139,51479,381198
9013,18,53,10,27,53,10,171
2561,23221,5361,4060,22737,5375,4060,64814
2820,4234,3101,170,4034,3102,170,14811
8839,844,114,0,965,113,0,2036
4502,105781,156970,72921,101377,157481,72921,667451
2471,41083,195460,31430,38009,194155,31430,531567
2238,12753,14833,15,15310,20306,15,63232
5348,2280,3372,20488,2701,7724,20488,57053
9466,21238,18087,14568,25035,18087,14568,111583
7563,1429,769,869,1497,767,869,6200
2690,41084,7585,10524,41512,7622,10524,118851
9764,9327,8224,1826,10534,8222,1826,39959
4011,11521,36997,12707,11608,37004,12707,122544
7492,401944,400966,826436,238510,397175,826436,3091467
1279,3732,448,1216,4406,447,1216,11465
5133,5944,8848,17275,5509,9951,17275,64802
4445,21141,29679,20544,19651,29580,20544,141139
5089,68279,93483,393996,35833,104297,393996,1089884
5551,74743,98025,123952,53384,105041,123952,579097
5580,23095,15802,5984,16743,21195,5984,88803
6406,4358,9415,1290,4946,9597,1290,30896
5252,38595,117413,130908,38164,121064,130908,577052
9973,4443,1013,392,5564,1014,392,12818
6774,100784,196983,15311,95120,196626,15311,620135
5725,15461,67526,18353,14682,67592,18353,201967
1096,31695,17806,8330,43463,18247,8330,127871
9674,77726,64135,37270,82448,64137,37270,362986
9467,1063,1399,78,1611,1399,78,5628
6212,1561,7,403,1911,7,403,4292
1954,39113,157706,47009,39355,155111,47009,485303
1903,18471,867,3653,17549,867,3653,45060
3805,40684,75890,41207,39120,75978,41207,314086
3806,17091,32046,8995,17525,32048,8995,116700
3807,13260,76445,20875,17882,76479,20875,225816
9020,13,29,10,24,29,10,115
6207,22770,163,2167,22856,166,2167,50289
7494,158622,241952,376920,137991,252490,376920,1544895
5520,270348,579418,560576,264127,582606,560576,2817651
5090,3041,3980,16849,5437,7100,16849,53256
3271,323665,801301,221069,317306,797031,221069,2681441
9311,104785,59147,45475,106779,59174,45475,420835
8484,20603,17754,454,23740,16777,454,79782
7909,246,752,0,267,749,0,2014
5420,64536,117213,149771,53854,121960,149771,657105
5215,21090,85051,102939,18519,87874,102939,418412
6870,384,1018,1611,1005,1119,1611,6748
6006,457,1584,3547,2258,1598,3547,12991
3047,80005,189485,127580,77481,189925,127580,792056
2420,595,312,15,530,326,15,1793
9966,88263,45977,28870,92965,45983,25755,327813
5091,20633,36781,83210,21279,38972,83210,284085
8822,258,29,0,374,30,0,691
5890,505,1816,1001,641,1834,1001,6798
2188,60035,103583,1733,71218,117805,1733,356107
7258,11558,13358,1343,11579,13347,1343,52528
5076,10019,10656,30268,4905,13271,30268,99387
5046,76859,189100,417750,45493,209170,417750,1356122
5349,58,116,150,269,290,150,1033
1512,79011,400330,404979,82716,417505,404979,1789520
1510,8,38,5,30,38,5,124
5538,16720,14892,10002,17684,15779,10002,85079
3245,3588,2195,2625,4170,2228,2625,17431
1165,6532,2646,1263,7131,2790,1263,21625
3070,5707,13275,8457,5785,15069,8457,56750
1625,52472,29800,21246,52717,29542,21246,207023
5198,3062,4582,7990,3979,4695,7990,32298
2785,1428,4573,257,2388,4825,257,13728
9895,50402,33800,12912,53805,33800,12912,197631
5062,20271,33667,124379,11726,36853,124379,351275
9714,83105,61955,12918,90881,61952,12918,323729
5350,1798,2501,4948,2542,2900,4948,19637
1679,23342,14499,5663,23363,14582,5663,87112
5227,653,984,548,716,1004,548,4453
5092,28422,42261,101211,16382,48197,101211,337684
8047,2199,2405,1355,2139,2406,1355,11859
8564,31775,24946,485,29557,22799,485,110047
7439,155700,220379,768805,138643,241349,768805,2293681
2676,4697,1514,99,5039,1525,99,12973
5624,5494,6495,25779,5550,7473,25779,76570
8352,17128,12715,6064,16284,11776,6064,70031
3549,7849,4666,4354,7985,4667,4354,33875
3550,3817,2412,1407,3729,2412,1407,15184
1390,67679,178537,247371,48511,202397,247371,991866
1045,19809,25304,756,21264,25314,756,93203
7330,182,84,0,405,85,0,756
8431,3871,4216,345,4655,3920,345,17352
5581,15476,15236,26245,12387,17255,26245,112844
7791,56180,80214,2917,56873,79846,2917,278947
5323,3603,15533,18299,2730,17640,18299,76104
2351,1279,797,255,1168,793,255,4547
1003,8223,21614,538,9210,21598,538,61721
2942,0,1,0,11,2,0,14
5472,930,1366,4612,858,1623,4612,14001
6961,5426,7413,9762,27740,7845,9762,67948
2449,17295,3153,477,16984,3187,477,41573
8048,74831,103984,89008,77659,104083,89008,538573
5211,52201,151742,86470,55959,154015,86470,586857
5093,47048,67483,230860,28504,78475,230860,683230
5094,132495,173611,646133,73215,199640,646133,1871227
1006,65022,32041,600,6432,26700,600,131395
3048,31989,70884,57289,33432,71029,57289,321912
3104,3731,9015,5628,4352,9120,5628,37474
5063,37660,57140,132769,25188,64067,132769,449593
2136,19192,18763,447,15861,20612,447,75322
6170,28658,65420,106850,27250,73849,106850,408877
4618,6305,4209,2247,6192,4220,2247,25420
6871,121677,241232,882778,91979,268980,882778,2489424
7910,8553,5979,2619,9618,6010,2619,35398
5464,12367,47308,73458,10293,49389,73458,266273
6235,7989,1688,1747,8971,1691,1747,23833
8553,92053,73693,6301,101531,70814,6301,350693
3907,7730,10337,4410,7348,10340,4410,44575
5163,6882,28066,39578,6315,28342,39578,148761
2304,65457,60236,26657,61195,60280,26657,300482
5401,3075,2959,1841,1462,3535,1841,14713
2352,36345,57590,426,28137,69141,426,192065
2217,71674,173759,3425,85521,219306,3425,557110
2219,214961,419100,4672,163822,295443,4672,1102670
2145,32707,55523,1966,31126,56347,1966,179635
2220,76388,108302,893,101030,199840,893,487346
1215,357103,557756,36473,335915,539835,36473,1863555
4515,42056,38339,59,5811,29536,59,115860
1127,1595130,3890370,204766,1650077,3875771,204766,11420880
7835,17311,13278,1025,15959,13288,1025,61886
9940,100289,64103,40150,135982,64104,3525,408153
6800,131709,241502,327157,115943,252141,327157,1395609
5402,1115,4175,4481,1559,4489,4481,20300
9620,78975,72429,48715,86438,72418,48715,407690
5945,4944,5040,3835,5920,5387,3835,28961
2737,124589,215558,67683,137394,216851,67683,829758
5095,149398,302501,596994,72414,338814,596994,2057115
2739,129513,664639,31013,125187,660655,31013,1642020
2738,6526,6776,159,5324,6556,159,25500
2740,10290,21205,1233,10928,21700,1233,66589
2732,13344,11739,22222,13275,13836,22222,96638
5625,36520,52764,40416,38978,57612,40416,266706
2450,15351,4317,274,15091,4314,274,39621
8750,3006,2107,47,3395,2108,47,10710
9760,71525,45671,111529,70611,45670,111529,456535
1176,35326,24282,24477,34625,24319,24477,167506
4574,11002,1727,9028,12811,1726,9028,45322
