NLC," Entries Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
1822,4289,4264,87,4470,4272,87,17469
8473,85666,44709,12783,81575,41460,12783,278976
8554,25859,23407,3076,30535,22018,3076,107971
9814,38996,24265,122691,45136,24268,122691,378047
9796,56335,28992,31746,60029,28991,31746,237839
2313,9375,11959,705,9926,11963,705,44633
7406,10589,5842,4004,10086,6019,4004,40544
5325,6797,14224,29167,5174,15928,29167,100457
5233,1479,5794,9006,1530,6728,9006,33543
6524,4019,3098,729,3240,3099,729,14914
5628,26122,36620,43396,34694,38435,43396,222663
1396,26,99,495,53,171,495,1339
9943,52109,35953,32589,54651,35959,40150,251411
2876,3,1,0,7,1,0,12
5356,51039,115525,134244,30201,129359,134244,594612
2305,9267,10459,1635,10271,10467,1635,43734
6008,43299,47518,150790,37277,47755,150790,477429
3107,2658,1593,4430,3034,1672,4430,17817
8625,694,359,0,648,360,0,2061
9721,42207,28640,15618,45598,28652,15618,176333
9121,16786,30682,6640,18666,30711,6640,110125
9218,10722,4484,5363,8994,4483,5363,39409
6964,2938,5557,11821,2478,8098,11821,42713
5201,7025,11804,8051,6277,14297,8051,55505
3981,3789,6423,1402,3422,6421,1402,22859
3738,20728,39215,8175,23252,39281,8175,138826
4147,423,513,0,551,638,0,2125
7440,7929,3796,15030,9558,3795,15030,55138
2777,12995,19851,10494,10505,22073,10494,86412
9135,145,197,966,138,196,966,2608
8711,516,414,5,588,417,5,1945
9790,17152,10092,3274,16804,10092,3274,60688
9415,41170,19358,40652,46341,19360,40652,207533
9992,141743,77402,31828,159678,77402,31828,519881
9864,48269,31727,77372,42263,31727,77372,308730
9483,23684,18228,17854,27673,18231,17854,123524
2077,6112,99,922,6304,101,922,14460
1429,36298,77873,118493,23842,77243,118493,452242
1957,3808,4710,943,3918,4710,943,19032
8628,576,363,0,779,362,0,2080
7915,1340,2543,5141,1517,2550,5141,18232
3797,6432,6656,4343,6658,6658,4343,35090
4519,1275,1167,5,1377,1276,5,5105
7877,262655,354051,81190,260886,353735,81190,1393707
6729,894,652,729,854,657,729,4515
7211,3528,6257,114,4089,6274,114,20376
5101,142388,419078,545655,135718,418786,545655,2207280
8420,15573,21055,4285,15231,20902,4285,81331
2576,15309,30844,5373,18091,31634,5373,106624
5668,19077,35961,33594,19957,41431,33594,183614
2770,19900,26063,15898,18089,28545,15898,124393
3408,24437,58502,55010,24050,58512,55010,275521
3409,2864,17857,1624,5670,17856,1624,47495
5011,26368,84433,77477,24143,87985,77477,377883
2877,2816,7019,2705,2945,8215,2705,26405
5942,1469,1023,528,1631,1036,528,6215
2963,2713,8258,2350,3042,6428,2350,25141
5412,812,1432,6391,782,1330,6391,17138
2480,2624,506,2338,3162,559,2338,11527
8441,6814,4682,391,5990,3356,391,21624
2306,2334,5261,400,2750,5267,400,16412
8432,7146,10978,1644,8809,10964,1644,41185
3052,11963,26956,18782,10206,27024,18782,113713
3060,1454,2476,3060,2420,2480,3060,14950
5421,62059,157349,264347,55286,152635,264347,956023
2103,3487,1209,0,3707,1219,0,9622
2855,8,85,0,13,86,0,192
5145,25935,51063,63660,22003,51439,63660,277760
1823,315006,565987,115107,317631,563966,115107,1992804
7212,2511,4801,369,2634,4809,369,15493
2652,3285,5886,1506,2928,6413,1506,21524
3579,10712,4092,3488,12304,4105,3488,38189
8326,115418,144678,8845,112970,150775,8845,541531
3030,156013,310203,350617,154206,315168,350617,1636824
5753,10193,5905,8101,10180,5906,8101,48386
5502,1971,1681,1353,2107,1679,1353,10144
3901,5107,12488,3325,5336,12478,3325,42059
3830,16476,31427,12362,21000,31438,12362,125065
3861,2037,4379,815,2636,4381,815,15063
8632,9698,3096,190,5768,3093,190,22035
7897,3182,1347,2117,2798,1347,2117,12908
2893,9304,8279,7052,7913,9143,7052,48743
2765,10038,19601,866,9329,19932,866,60632
7348,26401,84550,28272,29349,85379,28272,282223
2289,3,0,0,3,0,0,6
3588,1749,988,324,1632,988,324,6005
6781,2128,5254,807,2146,5295,807,16437
4188,385,257,0,348,277,0,1267
5036,100,542,630,149,660,630,2711
2538,523,19,0,538,20,0,1100
2452,4850,294,1407,4824,298,1407,13080
6417,366035,578609,151997,368312,583480,151997,2200430
5961,39329,138969,42224,37706,138472,42224,438924
5962,20,73,0,29,71,0,193
6690,11927,6805,2265,11341,6835,2265,41438
5357,89612,214320,211695,86183,226178,211695,1039683
5297,48,99,264,51,91,264,817
5413,3146,7807,32012,1969,10341,32012,87287
4525,34881,56707,7818,32708,57685,7818,197617
2766,879,3103,493,1727,3169,493,9864
5033,80048,278090,81022,81806,263651,81022,865639
6901,4013,27602,21529,3782,27331,21529,105786
4436,496,189,5,613,196,5,1504
7055,18195,48557,21419,19605,50173,21419,179368
3099,2179,2571,2000,1801,2302,2000,12853
6000,19348,4876,11827,9190,4788,11827,61856
9317,14267,6053,7926,17091,6055,7926,59318
8057,25645,30612,23807,27493,30612,23807,161976
1994,1021,386,233,988,393,233,3254
4878,74570,27768,35090,82572,27450,35090,282540
6616,5660,533,1125,4554,530,1125,13527
9994,74072,42897,16118,77552,42897,16118,269654
9757,25522,17297,12135,26399,17296,12135,110784
9993,45726,32906,11308,42179,32905,11308,176332
1040,13998,9381,1712,13713,9398,1712,49914
1212,17724,23588,1359,17677,23471,1359,85178
1691,6594,3133,1093,6246,3147,1093,21306
8681,70,46,0,117,46,0,279
9906,4497,1528,1222,5219,1528,1222,15216
7027,2875,227,2199,3426,229,2199,11155
9866,120057,97133,28083,139437,97111,28083,509904
9868,67321,42614,11028,73768,42619,11028,248378
9622,18834,13709,4360,24765,13707,4360,79735
9490,12312,59619,2671,13094,59399,2671,149766
5034,2305,4891,2103,2683,5707,2103,19792
9397,11322,43525,28442,11036,46781,28442,169548
8713,67807,56032,29562,68650,56037,29562,307650
5944,2026,1884,729,2293,1976,729,9637
8682,93,54,0,124,54,0,325
9039,107391,318641,57571,106294,317882,57571,965350
9186,59640,58335,74484,65465,58328,74484,390736
8763,2088,3121,237,2570,3130,237,11383
9492,10681,10452,6036,12024,10445,6036,55674
8642,84,23,0,265,23,0,395
7744,21,26,0,78,21,0,146
5102,1142,1271,8143,1699,3062,8143,23460
7745,151520,375244,63968,160461,374734,63968,1189895
5282,36638,75515,90187,36780,75758,90187,405065
8905,77933,22078,13865,78384,22078,13865,228203
4455,2193,2966,1210,2456,3128,1210,13163
7916,8897,6342,7537,11016,6351,7537,47680
3190,112552,846689,1177786,105033,840112,1177786,4259958
2292,29855,42439,8957,28845,42440,8957,161493
5694,46714,48567,49962,46110,49403,49962,290718
5584,161753,252856,441865,89663,270630,441865,1658632
5414,6650,4128,33284,5603,7356,33284,90305
4520,3454,9654,15964,3606,9648,15964,58290
7746,26291,31112,1231,36184,16909,1231,112958
5355,814395,2233357,2290832,885903,2249114,2290832,10764433
2949,14633,20326,8261,14375,22037,8261,87893
5358,25328,43879,106021,13739,50666,106021,345654
5234,2191,3347,899,2457,3548,899,13341
8472,49223,22113,4316,41798,21511,4316,143277
5486,42644,168740,194797,31587,179752,194797,812317
9793,118985,83422,31043,120290,83448,31043,468231
5134,5296,12997,16116,4511,18733,16116,73769
7471,24997,36009,64947,26730,37664,64947,255294
5283,12597,22987,78187,22124,25719,78187,239801
5448,102404,575149,235352,96561,580456,235352,1825274
3795,19388,31687,12638,20865,31682,12638,128898
9894,48915,23858,24142,47506,23858,24142,192421
2128,21366,30878,387,13819,26910,387,93747
5899,100619,176202,138807,96166,178159,138807,828760
8114,438,63,291,486,63,291,1632
2950,12158,22054,8970,11680,24553,8970,88385
7370,288,222,228,344,222,228,1532
2227,5909,8770,191,5444,9043,191,29548
2824,8059,15205,324,9111,15268,324,48291
5056,22690,26044,78123,15507,31216,78123,251703
5473,15100,38947,23603,16953,48394,23603,166600
5359,6290,9707,33227,3506,9124,33227,95081
2169,8169,9222,323,10054,10461,323,38552
9328,1459574,2400453,986445,1474304,2380878,986445,9688099
5642,26096,35531,60538,14677,47221,60538,244601
5822,2113,3928,9714,2646,3932,9714,32047
5669,96852,267993,185652,94146,272830,185652,1103125
7918,1126,1010,7071,1271,1010,7071,18559
5246,33724,57810,40706,54482,46155,40706,273583
8977,34425,32838,6638,36013,32862,6638,149414
2121,44192,33247,7794,56133,33428,7794,182588
5049,27134,34398,154986,15890,42281,154986,429675
5135,50372,72830,226664,29882,82969,226664,689381
7349,5903,1192,419,5534,1197,419,14664
6667,19943,35184,5363,20298,34421,5363,120572
6832,14472,19510,64629,12835,23951,64629,200026
1542,67516,243091,308381,59877,258421,308381,1245667
5103,119831,188561,459953,69376,215304,459953,1512978
6238,57,3,0,56,3,0,119
7068,87169,124034,72631,88688,125554,72631,570707
7473,856,1041,2474,4685,1155,2474,12685
5257,23821,38656,26574,24670,42059,26574,182354
6010,52014,58156,192349,20543,56789,192349,572200
6815,25034,24730,64578,26465,24947,64578,230332
6959,94282,120677,213576,81887,122081,213576,846079
2747,1296,3100,206,1105,3132,206,9045
5360,197050,396197,426707,195307,412317,426707,2054285
5361,1775,4491,5464,1189,6492,5464,24875
1041,50378,51287,5087,51855,51349,5087,215043
5459,1965,2389,4555,1273,3365,4555,18102
5104,30543,49747,112204,17212,54441,112204,376351
5558,61759,101321,123615,60452,101446,123615,572208
6004,20552,7635,32408,14465,7365,32408,114833
5217,9142,26775,57122,7245,30249,57122,187655
1294,3763,783,876,4225,801,876,11324
2080,2992,950,311,3310,966,311,8840
4740,24622,53334,14183,25180,53596,14183,185098
5415,29392,43942,81332,34018,45532,81332,315548
5586,46451,69347,149198,32868,80530,149198,527592
5755,81279,225771,180016,75065,219231,180016,961378
3410,136064,445746,108982,135340,447302,108982,1382416
3414,5683,7596,3441,5380,7597,3441,33138
9914,62085,77985,14214,60666,79232,14214,308396
5756,53097,148328,66779,58826,149537,66779,543346
5760,1693,2506,1064,1967,2505,1064,10799
5065,8829,12715,23765,4736,18010,23765,91820
2951,7655,13830,2952,8128,15785,2952,51302
4416,8464,9404,2170,8068,9278,2170,39554
2780,1087,905,944,1247,1193,944,6320
9452,7847,4188,2121,8990,4197,2121,29464
3873,2396,3255,2841,2734,3257,2841,17324
5137,45854,52286,193520,25976,62278,193520,573434
9930,125261,125965,88859,166421,126045,88859,721410
9931,44408,72852,74849,23223,72671,88859,376862
8726,45,16,0,19,16,0,96
5337,58992,244395,45821,56610,238107,45821,689746
3508,3565,8585,5,4486,8409,5,25055
3591,14109,20247,26,15258,20600,26,70266
6875,2254,5551,38849,2464,6178,38849,94145
5900,123263,211738,133156,124088,214914,133156,940315
5521,189718,288829,386580,183502,300324,386580,1735533
5688,246,363,1358,268,364,1358,3957
5643,61481,70631,92782,56428,72855,92782,446959
5545,90443,195151,200833,86193,206905,200833,980358
5105,10630,21359,57400,7228,26852,57400,180869
2811,3069,6265,573,2751,6835,573,20066
9245,7730,5224,1351,8389,5223,1351,29268
5167,68734,191397,301307,62960,196632,301307,1122337
5493,330,328,261,482,357,261,2019
2126,36889,63362,972,41264,72293,972,215752
8637,243,176,0,227,176,0,822
8544,11258,11694,0,10990,10631,0,44573
7214,16472,31830,4739,17341,32216,4739,107337
5559,89146,190615,146822,81563,197076,146822,852044
5808,5602,13411,9214,5877,12616,9214,55934
1377,2395,6828,4682,2956,6851,4682,28394
3862,3196,5847,1399,2863,5847,1399,20551
8061,19194,1465,5132,21582,1466,5132,53971
4074,2661,2847,1690,2984,2848,1690,14720
4066,420,468,0,450,475,0,1813
8062,17249,34638,7717,19003,34639,7717,120963
3235,59345,17061,109915,59302,16855,109915,372393
1445,11297,19991,8293,14651,20253,8293,82778
6119,143655,385390,697100,145109,371636,697100,2439990
3012,599,65,79,792,68,79,1682
5261,3176,7114,6310,5136,7750,6310,35796
5284,7479,19530,9843,16682,21670,9843,85047
4076,2839,9923,0,3212,9902,0,25876
6351,1843,241,239,1926,244,239,4732
8583,19984,25497,1038,21139,23360,1038,92056
4503,86281,59799,5400,92380,59072,5400,308332
5522,79452,144453,256584,75278,154091,256584,966442
2026,4268,889,775,4206,889,775,11802
2513,23624,47973,10322,22351,48175,10322,162767
1532,37731,123768,211841,28661,140501,211841,754343
2935,6267,11197,5643,4675,12855,5643,46280
2786,12978,17938,8690,13212,20546,8690,82054
5035,57485,191497,140427,58007,198797,140427,786640
5027,7858,9282,20398,6516,8353,20398,72805
5258,5395,19658,6436,5100,19681,6436,62706
6876,57791,115664,245509,42299,114923,245509,821695
5362,114339,223377,462647,50933,244580,462647,1558523
2354,68746,115044,1411,62527,120027,1411,369166
8638,14831,9255,3369,15124,9274,3369,55222
8639,249,477,0,265,476,0,1467
9675,12303,8176,7409,11641,8396,7409,55334
8827,39026,14841,0,31139,14800,0,99806
1042,37206,45036,1016,35571,45048,1016,164893
2046,1151,4344,508,1277,4463,508,12251
7029,3525,5187,10910,5203,5912,10910,41647
5218,6123,6267,28512,5730,7825,28512,82969
5509,126278,206394,73543,118202,200078,73543,798038
2355,40975,66428,60,52058,84372,60,243953
3344,3472,3064,2184,4284,3067,2184,18255
5683,26621,37508,20574,25506,39064,20574,169847
6854,5787,37612,37757,5677,38616,37757,163206
8556,45886,19085,5038,37263,17444,5038,129754
2284,19444,14707,2998,22905,14732,2998,77784
5707,11717,15871,5874,12671,15955,5874,67962
5587,21457,30683,51426,12254,34033,51426,201279
2952,2824,6244,2731,3053,6225,2731,23808
3144,14031,15169,28427,15118,17145,28427,118317
6465,1,17,0,0,17,0,35
6424,17350,6152,3267,18962,6148,3267,55146
9971,878,513,5,1054,512,5,2967
8474,90801,40873,11067,78690,39822,11067,272320
2654,4112,703,399,4308,704,399,10625
9904,73423,45961,34910,71213,45960,34910,306377
9979,46017,24585,14423,45177,24587,14423,169212
2104,4634,1549,237,4831,1559,237,13047
1559,5818,12243,11885,2516,16794,11885,61141
2228,24556,46549,656,28775,61666,656,162858
2335,26629,22920,1799,26456,22913,1799,102516
4148,237,440,25,241,455,25,1423
3961,2032,3313,396,1723,3309,396,11169
8640,1607,329,0,964,320,0,3220
2397,5707,6801,3141,5420,6398,3141,30608
2953,19201,28850,12729,16592,31358,12729,121459
5416,2248876,1388159,212078,2205277,1206679,212078,7473147
8641,240,263,0,233,263,0,999
3051,86607,191746,142688,80803,191906,142688,836438
6877,94995,141876,537497,66366,151061,537497,1529292
9794,60470,51088,26650,66488,51090,26650,282436
2655,3790,961,468,4164,968,468,10819
8117,14076,11173,10026,15993,11172,10026,72466
4022,1651,3290,2588,1918,3291,2588,15326
5796,21205,75398,24461,19321,78076,24461,242922
5169,119511,293129,369164,113091,308725,369164,1572784
5363,52925,129629,238484,29389,138431,238484,827342
9501,18997,9891,5795,21635,9894,5795,72007
7921,1393,1445,10760,1740,1443,10760,27541
2454,2347,96,9707,2606,97,9707,24560
9813,4027378,4272004,1741137,4252785,4270539,1741137,20304980
9627,28560,18771,14027,28145,18771,14027,122301
9628,15086,11574,2680,16713,11573,2680,60306
9950,659117,355041,184985,109272,353769,32589,1694773
2301,5334,5728,4414,5432,6153,4414,31475
8715,3511,4536,552,4588,4650,552,18389
8828,1589,164,0,1621,162,0,3536
9503,44591,41189,24106,54026,41198,24106,229216
9301,5270,5787,3025,6248,5805,3025,29160
2895,51086,121950,40445,48918,120787,40445,423631
4760,88665,227409,33105,90079,226921,33105,699284
5338,1812,7361,3719,3275,8251,3719,28137
4457,16948,35289,3217,17530,35319,3217,111520
5629,79192,116015,208478,72736,128156,208478,813055
2948,4310,6453,3768,4656,7173,3768,30128
2954,0,1,0,0,1,0,2
5474,5848,11983,12230,4298,15204,12230,61793
8284,5371,10422,1153,5302,10473,1153,33874
9096,14,9,0,45,9,0,77
8643,1684,516,0,1891,515,0,4606
5298,1632,5023,2086,1369,5584,2086,17780
6878,55324,86930,338199,50371,88469,338199,957492
8025,31401,42595,15756,31724,42655,15756,179887
1220,4887,6128,817,5980,6146,817,24775
6028,38009,42459,150833,24976,42431,150833,449541
3033,31776,60342,74570,35380,63694,74570,340332
5272,17006,52076,80409,18833,54132,80409,302865
2962,10006,17766,4066,9287,19204,4066,64395
1409,30909,37899,19037,28126,36872,19037,171880
9635,79775,55289,22741,81723,55266,22741,317535
4131,1356,1362,148,1519,1357,148,5890
6206,10781,74,1792,10623,75,1792,25137
1965,24622,35434,5791,24701,35476,5791,131815
6029,19217,13258,38842,11706,13369,38842,135234
7972,1,2,0,0,2,0,5
3839,17890,17375,19090,20297,17385,19090,111127
6469,88461,138561,77037,93372,132999,77037,607467
5514,5389,6564,30754,4717,8060,30754,86238
1132,32274,35411,1807,32499,35426,1807,139224
5172,108313,331567,338406,83092,355337,338406,1555121
7443,149459,192796,546730,121169,207969,546730,1764853
7922,668,1777,0,751,1775,0,4971
6855,1967,20609,12000,1774,21329,12000,69679
7032,5141,4708,25950,8362,5435,25950,75546
6275,4424,8,542,3982,8,542,9506
4892,79058,47952,43833,79330,48287,43833,342293
1463,32830,53165,63624,32077,53352,63624,298672
8005,2,2,0,2,2,0,8
2218,38980,53814,880,53301,110012,880,257867
1996,1161,897,740,902,1069,740,5509
2325,20518,13758,4375,18076,13760,4375,74862
9725,13550,10114,3371,12513,10114,3371,53033
2900,11993,25250,6785,10814,26897,6785,88524
5138,14498,16716,62528,9636,21058,62528,186964
9681,47426,45814,14330,48734,45765,14330,216399
9682,86846,72652,33255,86510,72385,33255,384903
5146,113504,200554,284051,92734,200837,284051,1175731
9610,1273,3409,309,1990,3405,309,10695
6276,1444,61,495,2051,62,495,4608
6280,58840,93903,12025,59126,94397,12025,330316
2825,8219,6058,132,8694,6111,132,29346
8155,3233,4508,4577,2566,4511,4577,23972
5139,115074,161562,468145,55330,187377,468145,1455633
2955,15813,21408,13945,16800,21937,13945,103848
5631,396541,1319811,760432,391168,1302090,760432,4930474
8567,109551,97167,2128,99846,93022,2128,403842
5588,156692,141442,147926,55503,138116,147926,787605
3563,6766,7386,2309,7308,7384,2309,33462
7299,2057,1208,42,1900,1211,42,6460
4300,12919,1065,268,12688,1064,268,28272
7930,3841,453,76,3084,452,76,7982
6281,9065,3232,3479,9591,3384,3479,32230
5364,23169,49490,129394,14230,53507,129394,399184
6977,22933,40213,43906,16713,40655,43906,208326
6867,53869,55277,87948,44433,55173,87948,384648
6978,1785,2347,3539,5863,2926,3539,19999
3053,21362,36895,48535,21082,37099,48535,213508
7300,1161,483,33,1293,487,33,3490
2896,28540,60928,21659,22126,65547,21659,220459
6075,15426,14894,36814,15306,15188,36814,134442
2585,4731,9550,2979,3611,9809,2979,33659
4577,28883,9953,52209,27468,10003,52209,180725
9810,48468,30863,14016,43924,30860,14016,182147
2845,15884,12761,6565,14211,13453,6565,69439
7266,13442,4691,819,14075,4689,819,38535
2295,9595,7944,1487,7887,8817,1487,37217
8411,140983,202875,6934,143203,202737,6934,703666
4521,22344,26388,475,23195,26531,475,99408
2572,5088,6176,4103,4480,7188,4103,31138
2229,9018,17177,144,9028,19002,144,54513
5173,7229,11949,7916,6773,14052,7916,55835
7568,9018,12563,5199,10175,12565,5199,54719
5037,3890,7473,14814,4096,10137,14814,55224
5947,4984,4919,4702,5323,6056,4702,30686
9726,121530,96185,35282,139422,96092,35282,523793
9727,76296,50567,36137,65700,50563,36137,315400
8241,4579,3947,2422,5099,3950,2422,22419
5450,35475,61566,46493,39584,63010,46493,292621
1413,27885,54217,17012,30461,50792,17012,197379
5561,53038,218643,123124,31974,217178,123124,767081
1033,10289,9647,227,10325,9674,227,40389
5560,39394,89988,121921,22673,95185,121921,491082
5589,38193,56582,72351,25894,60024,72351,325395
1145,17978,21353,342,19283,21324,342,80622
5940,11671,17284,11641,11894,17905,11641,82036
3007,10542,9205,3636,11506,9421,3636,47946
2767,34875,32030,19678,39957,32029,19678,178247
3191,18456,23722,48616,11532,26240,48616,177182
2557,3469,3689,808,3755,3688,808,16217
4458,5761,8477,36486,5381,8462,36486,101053
1521,38097,79983,71626,23360,75468,71626,360160
7374,820,555,341,785,553,341,3395
1533,14243,40424,56189,11515,44578,56189,223138
6804,15460,12062,33713,15239,14007,33713,124194
6827,137568,210753,237119,123910,223687,237119,1170156
6879,96509,147018,441098,91821,154179,441098,1371723
1543,84166,289529,524276,67572,319781,524276,1809600
5140,3764,6373,12181,3235,7647,12181,45381
6012,39538,30225,73376,17746,30500,73376,264761
7401,9767,5099,2738,9226,5340,2738,34908
2027,5336,1741,2309,5418,1737,2309,18850
8213,180551,237354,83451,188777,237316,83451,1010900
1397,98864,243715,235575,71510,248352,235575,1133591
2230,14800,33629,4136,15317,33799,4136,105817
4579,2204,228,4238,3170,358,4238,14436
8009,43196,52652,15049,46074,52671,15049,224691
9246,3457,2153,587,3184,2157,587,12125
6902,5989,37753,16604,9690,38227,16604,124867
6905,989,8569,4347,1821,10578,4347,30651
5633,85440,201999,310714,77522,221908,310714,1208297
5489,30493,117761,234755,25925,130677,234755,774366
5219,73437,342464,103263,67249,346792,103263,1036468
1398,19993,58852,34154,19852,67997,34154,235002
6070,108346,200632,160563,96126,211910,160563,938140
6845,10090,28387,129144,8892,30700,129144,336357
2826,11625,8812,118,9658,8737,118,39068
2604,5300,8957,3107,5346,9433,3107,35250
4594,6169,2707,1191,7522,2888,1191,21668
5532,170922,360261,193633,159035,369828,193633,1447312
6260,76,3,0,79,6,0,164
4079,13279,33998,1847,13246,33772,1847,97989
2428,9484,1475,549,10079,1480,549,23616
2146,541,5,31,648,5,31,1261
9634,18152,14358,4176,17166,14357,4176,72385
7569,4718,3236,2510,4011,3238,2510,20223
5289,9434,8343,36015,6507,9470,36015,105784
3186,67682,187867,147698,55267,188791,147698,795003
5050,34125,51597,189798,20488,59890,189798,545696
3513,8855,9683,103,10121,9782,103,38647
9419,228797,130196,126903,120616,136539,126903,869954
5490,151428,518587,879167,145106,535473,879167,3108928
2768,44365,76945,26559,39848,77489,26559,291765
5220,19141,59611,155340,14749,65357,155340,469538
8498,30723,20651,4773,36135,20774,4773,117829
1434,10981,24120,22743,9329,26410,22743,116326
2860,28307,51519,16341,25769,53260,16341,191537
6283,4770,14,97,4396,15,97,9389
3845,19735,23458,15327,22374,23462,15327,119683
3908,7055,12884,3026,6639,12882,3026,45512
5564,198651,145658,8663,152586,147638,8663,661859
2861,36391,51247,27033,32297,55545,27033,229546
2956,1,0,0,0,0,0,1
8524,50771,70664,11223,53341,69548,11223,266770
6220,11306,971,1403,12567,989,1403,28639
5893,20853,19290,36265,21076,20167,36265,153916
1148,12364,28038,215,11999,28053,215,80884
7887,3477,351,518,3954,351,518,9169
9981,161499,150172,79685,152744,149724,79685,773509
9982,96,48,0,155,45,0,344
2656,3946,580,203,4265,580,203,9777
8647,1059,416,0,2460,412,0,4347
2149,6125,5909,2426,5987,5935,2426,28808
1391,99866,290813,204683,78103,320038,204683,1198186
1522,19080,48672,110155,22404,55401,110155,365867
4028,8852,20218,9575,8351,20227,9575,76798
4524,9761,13387,4420,9415,16060,4420,57463
3146,48415,104399,70895,41604,113598,70895,449806
8129,311,19,204,413,19,204,1170
3607,48648,171004,22262,47512,170322,22262,482010
5174,26926,84533,165958,24698,88411,165958,556484
5066,97214,163658,478196,79633,169599,478196,1466496
5590,42133,65235,102388,35482,72643,102388,420269
6818,31596,29541,35598,6334,28534,35598,167201
6085,97607,136015,196234,112646,141553,196234,880289
8067,9725,1520,1777,11896,1523,1777,28218
2138,9479,2103,236,10022,2121,236,24197
5417,190,2014,597,276,2438,597,6112
7766,14297,15930,1049,24511,10192,1049,67028
7506,57417,57308,19802,62581,57266,19802,274176
3194,3792,4285,4361,5473,4327,4361,26599
2691,2609,6026,0,2111,6123,0,16869
5235,44413,72796,184812,42924,76545,184812,606302
9909,73858,64001,32623,74328,64001,32623,341434
3054,146496,346513,216446,134134,346895,216446,1406930
5202,8033,13631,30626,5887,20860,30626,109663
6919,80876,90362,396623,57472,90426,396623,1112382
3314,10219,18753,2122,12077,18818,2122,64111
2356,18782,29646,16,16373,32297,16,97130
5236,21276,26773,134709,15037,32463,134709,364967
9983,41015,23580,13374,50017,23580,13374,164940
9676,24238,16392,15043,28367,16398,15043,115481
9630,45123,14720,16862,47417,14720,16862,155704
2231,24251,34745,258,31583,36193,258,127288
5539,36959,10624,23812,39547,10848,23812,145602
5591,21766,28352,53323,11268,37767,53323,205799
1870,25740,42422,20076,27440,43875,20076,179629
2398,10647,22345,7278,9788,26156,7278,83492
5880,10213,17506,28668,11082,19559,28668,115696
6086,148476,258408,330870,134085,270115,330870,1472824
5107,115516,218207,500513,59682,239951,500513,1634382
6880,34384,130048,256369,30073,137470,256369,844713
5141,1254,4734,8355,1310,7020,8355,31028
2901,4633,9496,2660,4921,10537,2660,34907
1221,21632,21780,11060,22635,21849,11060,110016
5308,692,1938,4407,734,4141,4407,16319
5941,3365,1180,2412,4249,1128,2412,14746
2437,20422,55842,4667,20166,55466,4667,161230
9738,6679,6341,2035,7804,6339,2035,31233
6979,15470,23823,30836,11521,24928,30836,137414
4794,1878,3140,1604,1783,3351,1604,13360
5717,11276,67888,24501,10820,70465,24501,209451
8436,10936,5452,289,9906,5225,289,32097
5418,50625,91284,166360,23836,102555,166360,601020
5523,38169,64485,80394,37165,76254,80394,376861
2193,58228,93189,1548,59457,103681,1548,317651
2432,11390,595,327,11571,597,327,24807
2828,6679,7207,513,7594,7212,513,29718
4189,185,158,149,182,168,149,991
5365,63339,140173,153102,57216,156125,153102,723057
8212,49241,28869,35840,42017,28868,35840,220675
6015,38340,27259,93424,21983,27680,93424,302110
8499,113597,80497,21306,115879,76268,21306,428853
5309,88669,267254,366751,89682,275057,366751,1454164
5562,25084,44713,79445,17506,54707,79445,300900
2105,5697,1483,240,5771,1479,240,14910
2399,593,672,77,546,679,77,2644
2303,28135,44287,5377,25477,43070,5377,151723
5563,36500,43035,43005,30378,46325,43005,242248
5273,69822,287500,267292,54617,289642,267292,1236165
1563,4961,10673,4685,1868,15236,4685,42108
8071,3675,1184,6949,3565,1181,6949,23503
2194,16548,36219,136,21923,46337,136,121299
6221,99,35,0,113,36,0,283
1862,37005,36522,12124,33754,36681,12124,168210
8437,302088,491622,42622,318179,484630,42622,1681763
8126,251672,439219,161658,237545,439913,161658,1691665
2937,1855,1747,685,1516,2602,685,9090
2558,2270,2307,563,2317,2308,563,10328
3072,19307,27191,26927,26466,29132,26927,155950
8098,4481,4159,604,5632,4157,604,19637
6108,61878,195275,252011,57550,203103,252011,1021828
8921,15530,3703,6179,16033,3701,6179,51325
2235,61565,76840,6052,62445,84887,6052,297841
5463,21919,53466,94433,16249,56820,94433,337320
8099,5803,6342,5807,5425,6340,5807,35524
2160,50750,117695,1130,49868,117671,1130,338244
2829,3738,6019,1356,4132,6404,1356,23005
2959,3004,2005,2421,2406,2546,2421,14803
6310,3938,593,686,4252,603,686,10758
9845,192832,110924,61413,193935,110924,61413,731441
6851,171,4006,5842,1504,4577,5842,21942
9618,12472,2161,6218,13420,2162,6218,42651
5495,21361,35859,43526,12972,40998,43526,198242
6881,196548,417416,692921,137818,433411,692921,2571035
8568,121124,179089,6055,122065,176097,6055,610485
2122,1048,61,5,1004,68,5,2191
2236,1978,1553,702,1838,1799,702,8572
6882,28619,50547,156993,23589,56618,156993,473359
8922,12951,4294,7597,13759,4287,7597,50485
8648,1304,617,0,1648,619,0,4188
8778,285,65,798,542,65,798,2553
9136,99972,117408,138743,97163,117364,138743,709393
9646,4166,3980,1540,5142,3982,1540,20350
8649,99710,178718,9831,89190,178679,9831,565959
8614,93,85,0,126,85,0,389
8924,26173,11521,13932,24721,11523,13932,101802
7217,212806,367996,249448,206845,375452,249448,1661995
2817,17343,22098,6128,18559,24657,6128,94913
9508,117778,134975,45174,127359,135002,45174,605462
5592,24972,29529,13273,28990,33553,13273,143590
3110,3110,5861,2884,4024,5885,2884,24648
