NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0708        Entries & Exits," 0708 Interchanges"
5544,72623,103425,137337,313385,71346,103858,137337,312541,625926,
2806,34998,58993,46058,140049,36745,60106,46058,142909,282958,0
1198,26242,12616,1525,40383,39516,12705,1525,53746,94129,
1678,4590,4098,915,9603,5142,4147,915,10204,19807,
5250,3294,12702,3441,19437,4793,12726,3441,20960,40397,
506,78024,159503,512389,749915,88794,159825,512389,761007,1510922,
4236,4492,2944,25,7460,4653,2645,25,7322,14782,
6358,1591,546,299,2436,1937,566,299,2802,5238,
9965,81308,25871,110892,218071,73761,25871,110892,210524,428595,
5510,103149,203140,210608,516897,94168,219691,210608,524467,1041364,811
5397,32679,39385,133580,205645,29077,39427,133580,202085,407730,
6909,2611,2211,12353,17176,5209,2591,12353,20154,37330,
5267,58979,151322,118324,328625,61080,151902,118324,331306,659931,
9451,4010,43512,1894,49416,5545,43554,1894,50993,100409,
9972,172077,120949,129057,422083,176900,120947,129057,426904,848987,
2662,10552,5528,1723,17803,11180,5536,1723,18439,36242,
2052,20737,7819,2282,30838,20896,7765,2282,30943,61781,
5003,2533,4609,8005,15147,3701,4604,8005,16310,31457,
3109,1420,1772,745,3937,1646,1810,745,4201,8138,
2396,13433,62110,12071,87614,14102,64504,12071,90677,178291,
1430,46324,67788,88813,202925,41954,72088,88813,202855,405780,
9079,82880,89180,42268,214328,81999,89225,42268,213492,427820,473
8613,2726,289,5,3020,2587,239,5,2831,5851,
9962,829,158,0,987,724,159,0,883,1870,
9453,25121,13136,83,38340,33657,13171,83,46911,85251,
9569,31860,31313,37513,100686,31914,31275,37513,100702,201388,193
9455,3200,2853,1117,7170,3994,2872,1117,7983,15153,
2960,117,82,0,199,165,115,0,280,479,
9961,175524,87032,76064,338620,104684,87029,76064,267777,606397,
8821,2094,1263,0,3357,2645,1288,0,3933,7290,
6171,38873,66069,90620,195562,42943,69003,90620,202566,398128,
2054,2492,581,865,3938,2678,576,865,4119,8057,
1963,19585,24142,6557,50284,23887,24356,6557,54800,105084,
8045,187,466,771,1424,189,441,771,1401,2825,
9963,2664,3657,5,6326,2471,767,5,3243,9569,
5251,21397,70578,39988,131963,22672,70888,39988,133548,265511,
5666,164668,222870,135418,522956,160784,226695,135418,522897,1045853,262722
3003,422,55,797,1274,370,58,797,1225,2499,
5641,37093,41631,57134,135858,36945,42477,57134,136556,272414,29957
5547,53113,64397,117324,234834,54757,64872,117324,236953,471787,130685
2941,8138,10355,4260,22753,9893,8512,4260,22665,45418,
4700,11878,11901,4528,28307,13252,12125,4528,29905,58212,
9953,10208,8128,2569,20905,12247,8129,2569,22945,43850,
5667,99569,101843,263532,464944,98437,101955,263532,463924,928868,
5004,278343,475225,662965,1416533,272929,467072,662965,1402966,2819499,403432
2850,697,934,188,1819,928,935,188,2051,3870,
5347,110187,136082,271403,517672,110586,136004,271403,517993,1035665,
2790,36110,100388,37222,173720,28025,105074,37222,170321,344041,
5398,1756,2753,3956,8465,2332,2607,3956,8895,17360,
5906,10126,12303,17739,40168,11822,13004,17739,42565,82733,
6083,10379,7452,33479,51310,10734,8894,33479,53107,104417,
1953,5438,9339,17470,32247,5298,11051,17470,33819,66066,
6233,6341,2430,1871,10642,6509,2451,1871,10831,21473,
2095,8427,2041,1791,12258,9608,2059,1791,13457,25715,
1380,1232,3022,1497,5751,1489,3143,1497,6129,11880,
1004,38292,62592,809,101693,41153,62669,809,104631,206324,19684
1074,1111,435,625,2171,1505,456,625,2586,4757,
2584,34168,68108,19785,122061,25414,72016,19785,117215,239276,
8608,166,52,0,218,200,51,0,251,469,
1624,12107,1445,4534,18086,13447,1499,4534,19480,37566,
7367,25617,28223,20241,74081,28776,28291,20241,77308,151389,
9457,7796,7518,1811,17125,9261,7532,1811,18604,35729,
7017,68178,102688,213526,384392,72147,103740,213526,389413,773805,3048
2215,16018,23453,2192,41663,18383,23461,2192,44036,85699,
8610,26982,29415,1064,57461,27556,29350,1064,57970,115431,113
3265,3509,2865,1410,7784,3190,2872,1410,7472,15256,
3200,13874,1478,7866,23218,11962,1422,7866,21250,44468,
5714,18546,75957,7488,101991,17093,79298,7488,103879,205870,
1492,139286,208005,216073,563364,141736,208800,216073,566609,1129973,2055
5162,19674,11874,14164,45712,20601,12299,14164,47064,92776,
5197,10752,20926,13684,45363,13343,21281,13684,48309,93672,
9463,278972,270708,137818,687498,288579,270709,137818,697106,1384604,32271
2187,12100,25724,3145,40969,18241,25719,3145,47105,88074,
4186,1562,2213,1421,5196,1562,2647,1421,5630,10826,
5681,24374,19575,23587,67536,26382,20605,23587,70574,138110,
8552,43579,24263,13714,81556,58353,25068,13714,97135,178691,
9763,13084,9489,8012,30585,18286,9486,8012,35784,66369,
5492,8416,14843,30535,53794,10673,15224,30535,56432,110226,
6084,47105,70303,89421,206829,52278,71256,89421,212955,419784,
5399,372302,421232,1970461,2763995,375762,433545,1970461,2779769,5543764,256705
9862,88905,95258,103422,287585,85323,95328,103422,284073,571658,
9013,66,26,208,300,81,26,208,315,615,
2561,27758,3762,3305,34825,27717,3786,3305,34808,69633,
2820,5520,5271,441,11232,5877,5286,441,11604,22836,
8839,1170,889,0,2059,1080,898,0,1978,4037,
4502,167039,356981,211888,735908,160219,361970,211888,734077,1469985,554404
2471,57561,194088,32201,283850,54292,193815,32201,280308,564158,843
2238,21789,20310,24,42124,22536,20329,24,42890,85014,
5348,6056,4281,39578,49915,11799,4372,39578,55749,105664,
9466,22783,20213,15764,58760,26726,20202,15764,62692,121452,
501,1098,560,24285,25943,1623,630,24285,26538,52481,
7563,819,1134,850,2803,842,1131,850,2823,5626,
2690,43184,5074,11276,59534,50878,5018,11276,67172,126706,
9764,12457,10916,14944,38317,13890,10912,14944,39746,78063,
4011,22837,36831,14680,74348,19481,36836,14680,70997,145345,
7492,372376,365263,1307129,2044769,276408,364729,1307129,1948266,3993035,240494
5133,14227,13316,41458,69001,15787,13646,41458,70891,139892,
4445,51544,7125,13629,72298,46833,7084,13629,67546,139844,
5089,101793,123003,629231,854026,80530,122829,629231,832589,1686615,
5551,176084,165291,587621,928996,150967,166268,587621,904855,1833851,9503
5580,57610,55118,139120,251848,56975,55794,139120,251888,503736,
6406,7773,17796,2377,27946,9487,18147,2377,30011,57957,2214
5252,79094,145033,222990,447117,76120,143832,222990,442942,890059,759018
9973,15080,9694,3363,28137,13703,9697,3363,26763,54900,
6774,169372,231980,37066,438418,168218,232035,37066,437318,875736,9340
5725,6637,118850,4817,130304,6762,119292,4817,130871,261175,
1096,39991,26882,13670,80543,49895,27094,13670,90659,171202,18858
9674,96676,75969,107216,279861,99853,75978,107216,283047,562908,
9467,1446,665,79,2190,1874,667,79,2620,4810,
6212,953,95,21,1069,1486,94,21,1601,2670,
1903,11488,9742,5647,26877,11344,9767,5647,26758,53635,
1954,74550,141020,57068,272638,70336,138660,57068,266064,538702,8369
3805,81977,106718,68282,256977,67951,106773,68282,243006,499983,
3806,20498,25750,10592,56840,21993,25801,10592,58386,115226,
3807,59567,125160,88482,273209,72980,125305,88482,286767,559976,
9020,67,2,0,69,27,2,0,29,98,
6207,20220,1972,1916,24108,20325,1970,1916,24211,48319,
7494,333010,350399,582298,1265707,339719,350551,582298,1272568,2538275,
5520,511269,887430,900411,2299110,506805,890164,900411,2297380,4596490,595811
5090,9525,11300,27559,48384,18637,13100,27559,59296,107680,
3271,456030,1324326,467319,2247675,455726,1307586,467319,2230630,4478305,79862
9311,134839,95416,85550,315805,146930,101751,85550,334231,650036,
8484,35806,25866,10304,71976,41605,26011,10304,77920,149896,
7909,797,201,0,998,825,205,0,1030,2028,
5420,115931,171433,519718,807082,141366,171374,519718,832457,1639539,16371
5215,37885,102769,135059,275713,36937,104757,135059,276753,552466,
6870,1185,1282,1473,3940,2085,1293,1473,4851,8791,
6006,4108,3975,7190,15273,7951,4493,7190,19634,34907,
3047,138364,213143,283458,634965,140559,213441,283458,637458,1272423,
2420,329,179,215,723,432,197,215,844,1567,
9966,87802,68049,61812,217663,98751,68051,61812,228614,446277,
5091,27185,50448,131880,209513,28076,51945,131880,211901,421414,
8822,57,41,0,98,74,41,0,115,213,
5890,510,998,334,1842,603,1012,334,1949,3791,
8877,11112,610,399,12121,11408,17950,399,29757,41878,
2188,111825,108935,3218,223978,113234,108920,3218,225372,449350,
7258,13549,27074,847,41469,13018,29656,847,43521,84990,
5076,21171,22850,103984,148005,19737,22871,103984,146592,294597,
5046,176968,273302,937989,1388259,165650,273130,937989,1376769,2765028,56812
1512,181778,642082,757414,1581275,183316,662483,757414,1603213,3184488,41572
1510,612,2281,2778,5670,1295,2363,2778,6436,12106,
5538,25435,18960,15592,59987,24841,19064,15592,59497,119484,
3245,8310,5528,7063,20901,9683,5498,7063,22244,43145,
1165,7644,1529,2076,11249,8457,1619,2076,12152,23401,
3070,9546,18267,11425,39238,10404,20093,11425,41922,81160,
1625,96183,64994,41304,202481,93069,63285,41304,197658,400139,4275
5198,5104,8894,9342,23340,6782,9273,9342,25397,48737,
2785,732,3516,246,4494,1090,3640,246,4976,9470,
9895,83842,67448,27081,178371,84509,67508,27081,179098,357469,15086
5062,39751,42186,259266,341202,32865,42048,259266,334179,675381,
9714,101427,80196,83127,264750,105961,80170,83127,269258,534008,6570
5350,10682,10465,42393,63540,11168,10487,42393,64048,127588,
1679,15660,15501,6840,38001,18571,15784,6840,41195,79196,302
5227,1051,1037,1628,3716,1677,1159,1628,4464,8180,
5092,51591,56147,239697,347436,44545,56611,239697,340853,688289,
8047,1220,2788,1374,5382,1271,2770,1374,5415,10797,
8564,34603,30042,7800,72445,32490,30338,7800,70628,143073,
7439,333215,340350,814137,1487702,346869,340431,814137,1501437,2989139,
2676,7073,2149,959,10181,7268,2177,959,10404,20585,
5624,13803,11952,31395,57150,14906,12118,31395,58419,115569,
8352,29440,13939,6516,49895,24902,13951,6516,45369,95264,
3549,1728,8602,3919,14249,1615,9153,3919,14687,28936,
3550,581,3849,545,4975,481,4102,545,5128,10103,
1390,160504,228179,318320,707003,151152,246188,318320,715660,1422663,
1045,21275,33680,2410,57365,20446,33843,2410,56699,114064,
7330,272,178,0,450,383,181,0,564,1014,
8431,6964,4009,613,11586,6901,4009,613,11523,23109,
5581,28514,41026,105010,174550,34328,40994,105010,180332,354882,
5323,6044,18819,15111,39974,5611,19638,15111,40360,80334,
7791,17261,162916,16145,196322,16749,162556,16145,195450,391772,2689
2351,953,931,15,1899,646,925,15,1586,3485,
1003,8307,15954,50,24311,7880,15914,50,23844,48155,
5472,1881,1668,4949,8498,2093,1960,4949,9002,17500,
6961,33088,78911,220947,332947,49164,79429,220947,349541,682488,
2449,12594,2730,113,15437,12194,2763,113,15070,30507,
8048,59976,120682,112406,293064,67086,120687,112406,300179,593243,4
5211,88690,199530,294559,582779,87662,199787,294559,582008,1164787,
5093,86061,107395,425994,619450,82738,107387,425994,616120,1235570,
5094,190373,230293,1179355,1600021,168805,230469,1179355,1578629,3178650,
3048,77741,217672,157218,452631,81494,219163,157218,457875,910506,
3104,6268,8638,10862,25768,5769,9503,10862,26134,51902,
5063,64037,70403,286066,420507,59582,70403,286066,416052,836559,1942
2136,31653,27096,485,59234,32348,27095,485,59928,119162,50884
6170,66509,124753,183046,374308,68344,125457,183046,376847,751155,
4618,8737,7786,3117,19640,9208,7870,3117,20195,39835,
6871,190631,238557,985698,1414886,200850,238851,985698,1425399,2840285,
7910,13590,13624,6398,33612,15720,13645,6398,35763,69375,
5464,36095,71307,124189,231591,34548,72095,124189,230832,462423,
6235,7527,4800,1636,13963,9025,4833,1636,15494,29457,
8553,170981,152555,49683,373219,173655,153277,49683,376615,749834,
3907,2611,2327,4212,9150,3515,2318,4212,10045,19195,
5163,15600,34471,85674,135745,15759,34925,85674,136358,272103,
2304,111988,75015,60035,247038,111039,74915,60035,245989,493027,
5401,2137,2968,14381,19486,3651,2970,14381,21002,40488,
2352,65696,78663,614,144973,64810,78709,614,144133,289106,
2217,93176,136288,2122,231585,82114,136537,2122,220773,452358,
2145,78882,87646,127,166655,84513,87651,127,172291,338946,32537
2220,108649,96499,809,205956,107614,96514,809,204937,410893,
1215,461086,741681,92370,1295137,474598,713991,92370,1280959,2576096,32227
4515,125102,215181,4253,344536,127090,211805,4008,342903,687439,149215
1127,2393123,5666943,439558,8499624,2410797,5656416,440348,8507561,17007185,3408979
1006,443067,750329,15007,1208403,439887,744531,14463,1198880,2407283,134320
7835,21086,22600,3310,46996,21902,22577,3310,47789,94785,
9940,80435,169272,56971,306678,102950,124470,56971,284391,591069,
6800,243285,331176,655957,1230418,245662,332366,655957,1233985,2464403,68332
5402,2999,7172,3437,13608,3258,7239,3437,13934,27542,
9620,92047,64717,94796,251560,98484,64711,94796,257991,509551,
5945,11441,6669,9521,27631,12738,6923,9521,29182,56813,
2737,277302,208087,80407,565796,275907,210305,80407,566619,1132415,53960
5095,226229,276639,967171,1470038,221109,276686,967171,1464966,2935004,31604
7400,16332,7180,34778,58289,15563,7277,34778,57617,115906,
2739,241928,562959,39765,844652,232146,568240,39765,840151,1684803,914
2738,9669,10959,339,20967,8376,10915,339,19630,40597,
2740,21277,28749,1894,51920,23259,28120,1894,53273,105193,
2732,18566,18575,84434,121575,18546,21459,84434,124439,246014,
5625,52855,106398,63180,222432,52869,109543,63180,225591,448023,
2450,15644,2219,405,18268,15676,2220,405,18301,36569,
8750,1596,3272,5,4873,2032,3533,5,5570,10443,
9760,70207,59652,169635,299494,74035,59652,169635,303322,602816,
1176,49953,36911,4295,91159,51628,36910,4295,92833,183992,
4574,9577,3532,14312,27421,15802,3574,14312,33688,61109,
9716,74600,55007,75437,205044,74921,54999,75437,205357,410401,
7503,858,265,586,1709,1006,265,586,1857,3566,
6204,2586,74,0,2660,2662,81,0,2743,5403,
1360,46041,112060,207816,365917,45378,113215,207816,366409,732326,51483
1141,4885,6037,728,11650,5437,6188,728,12353,24003,
1018,6191,6878,364,13433,5908,6929,364,13201,26634,
2123,132707,162639,2016,297362,137029,162664,2016,301709,599071,
1282,8433,7202,2758,18393,9987,7245,2758,19990,38383,
3501,7035,86751,7428,101213,6894,87527,7428,101848,203061,
2435,927,900,257,2084,958,900,257,2115,4199,
5253,94068,260956,210723,565747,111796,256745,210723,579264,1145011,
9668,5078,2897,1268,9243,5389,2892,1268,9549,18792,
2599,259855,632901,151555,1044311,251127,650886,151555,1053568,2097879,425891
8536,8560,13664,2874,25098,9573,13664,2874,26111,51209,
5626,35136,31933,57632,124701,34336,32116,57632,124084,248785,
1993,4612,381,2026,7019,4969,389,2026,7384,14403,
2195,89889,110141,756,200785,94108,110153,756,205017,405802,0
2239,58826,40844,303,99973,67922,40843,303,109068,209041,
4513,69,1838,0,1907,246,1843,0,2089,3996,
5130,35616,73571,112284,221471,35319,75446,112284,223049,444520,
4304,18702,5463,768,24933,21477,5557,768,27802,52735,
5254,11940,12137,21094,45171,13286,12343,21094,46723,91894,
6216,37830,42304,20811,100945,39192,43320,20811,103323,204268,
5894,13381,11982,22550,47913,14978,13759,22550,51287,99200,
6237,11424,5618,6496,23538,13210,5661,6496,25367,48905,
3018,26794,40045,49656,116495,25064,41980,49656,116700,233195,63294
5876,322540,624775,274580,1221895,313009,646443,274580,1234032,2455927,49681
1112,84175,143671,5760,233606,84367,143211,5760,233338,466944,
1381,1859,3386,8946,14191,1731,3780,8946,14457,28648,
6027,22052,28322,229179,279553,22100,28223,229179,279502,559055,
9968,5633,3839,50750,60222,6285,3872,50750,60907,121129,
5403,3752,10008,10987,24747,5632,10010,10987,26629,51376,
5693,355280,317066,315769,988115,354531,320416,315769,990716,1978831,1
8346,390308,316258,78608,785174,346885,318506,78608,744000,1529174,15128
8345,295021,415335,55872,766229,280910,414268,55872,751051,1517280,35635
3341,50765,60542,33532,144839,51472,60684,33532,145688,290527,
5530,25116,1700,4239,31055,23685,1701,4239,29625,60680,
6801,57088,108090,277339,442517,61365,111191,277339,449895,892412,
2053,4681,9876,3522,18079,5364,10073,3522,18959,37038,
2944,27202,36833,20661,84696,20915,39272,20661,80848,165544,
8496,43232,21224,23331,87787,40609,21488,23331,85428,173215,
5500,20033,40503,40936,101472,19138,44084,40936,104158,205630,
7565,1741,2962,161,4864,1766,3004,161,4931,9795,
7259,1020,1232,330,2582,1409,1248,330,2987,5569,
9938,17896,14426,6165,38487,17703,14426,6165,38294,76781,
7200,9487,12213,3180,24880,9733,12439,3180,25352,50232,
5875,35250,32742,40384,108376,35487,34051,40384,109922,218298,
2045,431,52,0,483,340,53,0,393,876,
2779,12540,31006,11717,55263,10800,31575,11717,54092,109355,
9251,44,34,0,78,120,105,0,225,303,
5552,133757,111809,334724,580291,134927,111721,334724,581373,1161664,
6872,310519,238860,713059,1262438,305489,239157,713059,1257705,2520143,
1560,9742,9121,8558,27421,10881,9680,8558,29119,56540,
9889,47946,32959,28838,109743,48820,36739,28838,114397,224140,
8823,2181,654,0,2835,2498,633,0,3131,5966,
3809,134248,394929,139969,669146,136745,397720,139969,674434,1343580,21707
9789,72013,43435,40739,156187,68331,43442,40739,152512,308699,
3449,39155,63624,12783,115562,39902,64955,12783,117640,233202,
8049,40516,129509,23160,193185,43066,128861,23160,195087,388272,87
2554,7503,1764,1888,11155,7496,1777,1888,11161,22316,
6464,291,16,0,307,307,15,0,322,629,
8514,24155,15269,4337,43761,25691,15520,4337,45548,89309,
5268,921840,3615699,2143165,6680705,1000528,3650156,2143165,6793850,13474555,1566174
6810,52908,65620,176595,295123,48549,65770,176595,290914,586037,
2603,6587,16500,3892,26979,4434,17000,3892,25326,52305,
3230,289272,483108,178099,950479,290135,479228,178099,947462,1897941,366422
3231,872950,1886342,782658,3541949,910955,1846540,782658,3540153,7082102,845907
4012,2354,1976,846,5176,2006,1981,846,4833,10009,
4187,3535,4806,3158,11499,3084,4915,3158,11157,22656,
5081,34570,55953,220915,311438,52613,56538,220935,330085,641523,
2240,53324,55814,1642,110780,49956,55906,1642,107504,218284,
2892,15197,26228,8315,49740,11226,28774,8315,48315,98055,
5006,41527,125947,101176,268650,40647,126802,101176,268625,537275,
5886,94188,171186,331825,597199,81712,177330,331825,590867,1188066,223075
8429,8968,6378,2151,17497,11387,6379,2151,19917,37414,
5404,145179,197684,571922,914785,141190,197659,571922,910771,1825556,
2190,78393,77343,887,156623,75163,77341,887,153391,310014,
2191,35745,36802,97,72644,31716,36796,97,68609,141253,
2697,43834,47666,20323,111823,39242,50465,20323,110030,221853,
5096,32338,40477,258744,331559,33945,40465,258744,333154,664713,
5064,498449,839413,1687957,3025819,497844,836722,1687957,3022523,6048342,885192
4715,64515,34739,12822,112076,69937,35246,12822,118005,230081,
1437,55297,66370,442063,563730,43810,66295,442063,552168,1115898,
1438,29104,48215,346365,423684,28790,48161,346365,423316,847000,
6074,23236,14947,51529,89712,28046,16472,51529,96047,185759,
5687,108219,84157,248341,440717,113475,85878,248341,447694,888411,45277
4175,691,47,41,779,752,42,41,835,1614,
8050,412,176,577,1165,272,176,577,1025,2190,
8618,1709,269,0,1978,1476,269,0,1745,3723,
8051,45707,75042,54983,175732,49483,75221,54983,179687,355419,2194
9023,1381,681,828,2890,1878,681,828,3387,6277,
6812,157708,197096,392558,747362,156584,199015,392558,748157,1495519,248694
6958,23783,37358,138357,199498,21253,37356,138357,196966,396464,
7289,13289,22586,9502,45377,13421,23843,9502,46766,92143,311
7006,1658,1997,794,4449,1609,2326,794,4729,9178,
8807,26521,8557,18689,53767,26176,10911,18689,55776,109543,
3623,115965,103893,528,220386,117856,103941,528,222325,442711,
5702,2060,5913,996,8969,2598,5957,996,9551,18520,
2222,17023,20747,5718,43488,16344,24700,5718,46762,90250,
7290,21,29,0,50,19,28,0,47,97,
2422,17530,885,932,19347,19458,921,932,21311,40658,
4182,1414,151,1476,3041,1526,163,1476,3165,6206,
3502,0,798,0,798,6,753,0,759,1557,
4317,4181,1254,50,5485,4310,1269,50,5629,11114,
1865,10074,6257,4126,20457,9067,6273,4126,19466,39923,
7085,3533,6427,13930,23890,3965,6598,13930,24493,48383,
5483,92470,234445,443202,770117,101389,230979,443202,775570,1545687,
8500,102686,72421,27176,202283,103757,72866,27176,203799,406082,
8565,68447,67058,18278,153783,82699,68800,18278,169777,323560,
2945,18774,29492,13663,61929,12663,31688,13663,58014,119943,
1975,3848,1300,1304,6452,3338,1300,1304,5942,12394,
3176,107933,128777,215266,451976,115326,135062,215266,465654,917630,
6873,18431,28372,86043,132846,19536,28991,86043,134570,267416,
2743,478,409,0,887,779,444,0,1223,2110,
2550,35248,15316,6427,56991,37290,15561,6427,59278,116269,6025
2549,34876,39541,12931,87348,39137,39453,12931,91521,178869,2
9767,55166,38858,46126,140150,64656,38863,46126,149645,289795,
9107,20112,38382,28963,87457,22044,35307,28963,86314,173771,
2279,29606,53300,14439,97345,28825,54006,14439,97270,194615,
2280,6071,13295,1188,20554,6602,14174,1188,21964,42518,
5927,9217,7922,6675,23814,10509,8126,6675,25310,49124,
6200,3046,959,647,4652,3184,935,647,4766,9418,
1658,78538,201032,59635,339205,79530,204073,59635,343238,682443,1233
7008,74373,97889,13685,185947,75431,98677,13685,187793,373740,417
9791,19911,15208,15874,50993,23496,15218,15874,54588,105581,
6913,59107,74361,242700,376168,46695,74169,242700,363564,739732,
1395,70962,74963,211651,357576,74695,79564,211651,365910,723486,
1179,23872,28429,790,53091,20719,28430,790,49939,103030,
5324,14169,16732,48915,79816,15317,15845,48915,80077,159893,
2946,24196,100534,18885,143615,21427,99754,18885,140066,283681,
5689,61979,46156,94414,202549,66956,45880,94414,207250,409799,
4124,694,40,0,734,772,41,0,813,1547,
3811,45275,43999,35423,124697,48867,43953,35423,128243,252940,
2536,9941,222,30,10193,10603,230,30,10863,21056,
3812,75672,128779,90308,294759,92565,128829,90308,311702,606461,
4412,8611,8330,31,16972,8805,8351,31,17187,34159,
3680,10834,18446,6611,35891,10726,18515,6611,35852,71743,
1439,23794,33656,245177,302626,26179,33688,245177,305044,607670,
3562,1120,10601,1730,13451,926,10718,1730,13374,26825,
3238,20653,23586,11178,55417,23451,24855,11178,59484,114901,
5682,79902,84788,48814,213504,74381,96179,48814,219374,432878,
3504,16733,64009,14533,95275,15827,68313,14533,98673,193948,
7022,805988,1674479,1025528,3505995,801018,1665346,1025528,3491892,6997887,271880
6962,9180,21379,55034,85593,11672,21398,55034,88104,173697,
9768,109151,76060,111245,296456,121135,76063,111245,308443,604899,7504
1440,108147,115371,733586,957104,129301,115310,733586,978197,1935301,12459
9878,16640,14732,16957,48329,16061,15237,16957,48255,96584,
1129,16180,25761,3580,45521,15202,25709,3580,44491,90012,
1016,27393,44079,175,71647,31221,44739,175,76135,147782,
1441,35629,39861,288427,363917,26597,39852,288427,354876,718793,
5164,160967,377484,277892,816343,156579,368221,277274,802075,1618418,15244
5007,145477,342329,190211,678017,134829,347722,190829,673380,1351397,28386
7292,3282,4242,1223,8747,3825,4140,1223,9188,17935,
2186,10584,10654,3408,24646,21213,10664,3408,35285,59931,
3542,233,3353,486,4072,207,3443,486,4136,8208,
9112,9365,12067,3634,25066,8879,12056,3634,24569,49635,
3815,76936,88517,89631,255084,85193,88664,89631,263488,518572,
3899,1015461,2877903,998870,4892234,1100770,2883140,998870,4982780,9875014,865892
3900,398000,441706,431961,1271666,342062,440316,431961,1214339,2486005,407538
9624,23345,14058,18596,55999,26032,14053,18596,58681,114680,
9969,25389,20365,54703,100457,28950,20366,54703,104019,204476,
9877,12662,11275,10195,34132,13465,11278,10195,34938,69070,
1964,12899,8325,3455,24679,14438,8569,3455,26462,51141,
2118,184641,508135,45962,738738,180096,505423,45962,731481,1470219,216878
6201,4907,2078,2073,9058,4775,2423,2073,9271,18329,
9702,51146,35772,50400,137318,51055,35752,50400,137207,274525,
4068,106741,49283,19998,176022,103265,49044,19998,172307,348329,18473
9769,22173,13628,15198,50999,26381,13628,15198,55207,106206,
2640,45029,30659,12806,88494,42097,31247,12806,86150,174644,7283
9028,38933,22772,11724,73429,37755,22792,11724,72271,145700,
9897,34730,24062,15806,74598,36861,24062,15806,76729,151327,
1442,65484,61879,84784,212147,61515,61941,84784,208240,420387,
8621,1475,1545,80,3100,1587,671,80,2338,5438,
5405,95067,130144,408312,633522,88935,130339,408312,627586,1261108,
5406,71235,94059,276526,441819,61647,94080,276526,432253,874072,
9704,3354,783,2440,6577,3464,780,2440,6684,13261,7834
9680,18671,13163,7542,39376,19432,13165,7542,40139,79515,
