NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0708        Entries & Exits," 0708 Interchanges"
5131,215687,312308,1030554,1558549,195738,311657,1030554,1537949,3096498,
3813,24676,22553,44049,91278,25287,22522,44049,91858,183136,
3803,20948,28761,14336,64045,20451,28766,14336,63553,127598,
3801,8886,14098,9742,32726,8112,14080,9742,31934,64660,
3982,70430,111405,61274,243109,55787,111416,61274,228477,471586,
8976,399124,657150,171985,1228259,414200,655837,171985,1242022,2470281,119259
9090,16719,27737,17828,62284,17317,24295,17828,59440,121724,
4435,9886,2520,-38,12368,10192,2571,-38,12725,25093,
4440,540,11,0,551,702,8,0,710,1261,
3602,38589,94721,20477,153787,40675,94932,20477,156084,309871,
2448,8098,18608,3904,30610,10908,18593,3904,33405,64015,
4303,55736,80142,1476,137354,52233,78007,1476,131716,269070,
2552,69976,40896,16564,127436,74763,41181,16564,132508,259944,
8600,116,7,5,128,69,6,5,80,208,
8601,1089,474,0,1563,964,447,0,1411,2974,
8602,223,90,0,313,250,92,0,342,655,
7662,384,12,150,546,240,12,150,402,948,
7286,10266,12358,2769,25393,11812,13240,2769,27821,53214,
4529,36555,42919,468,79942,38039,42914,468,81421,161363,
2287,2404,579,2613,5596,2575,589,2613,5777,11373,
1404,67704,97645,524413,689763,61986,97573,524413,683973,1373736,
3000,26280,31336,141556,199172,22259,30799,141556,194613,393785,
1036,5047,4663,31,9741,5958,4665,31,10654,20395,
9310,2916,1852,1863,6631,3032,1933,1863,6828,13459,
5550,55965,44514,90219,190698,62496,44493,90219,197208,387906,
5160,3297,8616,15787,27699,3709,8679,15787,28174,55873,
2939,3815,3160,1084,8059,3676,3155,1084,7915,15974,
2641,25495,9624,11617,46736,26054,9636,11617,47307,94043,
8353,45705,25550,10461,81716,42753,25611,10461,78825,160541,
2255,61681,69316,771,131768,63619,69284,771,133674,265442,
2350,78525,89353,466,168344,87478,89503,466,177447,345791,
2125,106879,129551,1434,237864,104321,129524,1434,235279,473143,
9695,23344,18393,6937,48674,20199,18395,6937,45531,94205,
9759,164173,133785,193959,491917,168434,133805,193959,496198,988115,
5132,63088,60539,362780,486407,54634,60815,362780,478229,964636,
4614,11585,10899,8305,30789,13953,10950,8305,33208,63997,
2760,30157,29134,17692,76983,30632,29299,17692,77623,154606,
3145,8721,8135,13301,30157,9733,8396,13301,31430,61587,
5623,192786,276642,235159,704587,197590,278143,235159,710892,1415479,163047
5280,15464,24440,33034,72938,18409,24959,33034,76402,149340,
6025,64809,95879,494819,655507,64596,96018,494819,655433,1310940,14411
9905,25548,16516,9097,51161,29490,16528,9097,55115,106276,
9861,56546,53383,38907,148836,57129,53394,38907,149430,298266,
1805,29921,28386,7804,66111,32276,28755,7804,68835,134946,
7520,15014,7754,12897,35665,15646,7732,12897,36275,71940,
8605,3009,573,743,4325,3502,2980,743,7225,11550,
7787,19883,49476,20671,90030,21880,49331,20671,91882,181912,590
6847,3048,3821,15727,22596,4599,3911,15727,24237,46833,
1223,9577,4553,3457,17587,11024,4461,3457,18942,36529,
6869,3373,3258,16513,23144,3816,3444,16513,23773,46917,
6532,1822,2414,729,4965,1794,2365,729,4888,9853,
8606,62,7,0,69,79,29,0,108,177,
