NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1011 Entries & Exits,1011 interchanges
5131,245558,340264,929284,1515106,245558,340264,929284,1515106,3030212,0
3813,32552,19691,49000,101243,32552,19691,49000,101243,202486,0
3801,59326,17661,30259,107246,59326,17661,30259,107246,214492,33225
3982,120763,65078,76455,262296,120763,65078,76455,262296,524592,0
8976,463973,803574,214604,1482151,463973,803574,214604,1482151,2964302,148594
9090,17535,27266,20092,64893,17535,27266,20092,64893,129786,0
4435,11591,4499,5,16095,11591,4499,5,16095,32190,0
4440,620,190,0,810,620,190,0,810,1620,0
3602,89949,61293,27421,178663,89949,61293,27421,178663,357326,0
2448,20840,13927,3558,38325,20840,13927,3558,38325,76650,0
4303,71237,83307,891,155435,71237,83307,891,155435,310870,0
2552,97451,35288,23952,156691,97451,35288,23952,156691,313382,0
8600,76,24,0,100,76,24,0,100,200,0
8601,1167,682,0,1849,1167,682,0,1849,3698,0
8602,219,150,0,369,219,150,0,369,738,0
7662,44,10,0,54,44,10,0,54,108,0
7286,9307,11696,3082,24085,9307,11696,3082,24085,48170,0
4529,43625,43835,103509,190969,43625,43835,103509,190969,381938,0
2287,3398,1476,3747,8621,3398,1476,3747,8621,17242,0
1404,127070,152512,390186,669768,127070,152512,390186,669768,1339536,0
3000,28181,27314,117883,173378,28181,27314,117883,173378,346756,0
1036,4572,4936,6016,15524,4572,4936,6016,15524,31048,0
9310,3862,5922,1650,11434,3862,5922,1650,11434,22868,0
5550,63897,45770,79539,189206,63897,45770,79539,189206,378412,0
5160,3717,4236,10516,18469,3717,4236,10516,18469,36938,0
2939,3909,3386,631,7926,3909,3386,631,7926,15852,0
2641,26553,11987,13915,52455,26553,11987,13915,52455,104910,0
8353,53249,26903,43830,123982,53249,26903,43830,123982,247964,0
2255,99747,140857,100283,340887,99747,140857,100283,340887,681774,0
2350,151353,221452,113503,486308,151353,221452,113503,486308,972616,0
2125,192448,257350,148831,598629,192448,257350,148831,598629,1197258,0
9695,21786,19420,12725,53931,21786,19420,12725,53931,107862,0
9759,186618,168756,240204,595578,186618,168756,240204,595578,1191156,0
5132,72536,66734,317656,456926,72536,66734,317656,456926,913852,0
4614,15544,12609,11463,39616,15544,12609,11463,39616,79232,0
2760,39967,39486,21760,101213,39967,39486,21760,101213,202426,0
3145,8086,11517,11043,30646,8086,11517,11043,30646,61292,0
5623,223509,291099,231744,746352,223509,291099,231744,746352,1492704,154496
