NLC,Entries_Full,Entries_Reduced,Entries_Season,Entries_Total,Exits_Full,Exits_Reduced,Exits_Season,Exits_Total,1516 Entries & Exits,1516 Interchanges
2217,171715,192443,118473,482631,171715,192443,118473,482631,965262,0
2219,334823,398128,275788,1008739,334823,398128,275788,1008739,2017478,224050.6364
2145,195331,99278,90998,385607,195331,99278,90998,385607,771214,66410.7461
2220,175816,128052,81691,385559,175816,128052,81691,385559,771118,0
4513,471,5507,697,6675,471,5507,697,6675,13350,0
1215,805159,1310962,770303,2886424,805159,1310962,770303,2886424,5772848,94355.9894999999
4515,698248,1319306,1419557,3437111,698248,1319306,1419557,3437111,6874222,450609.3136
1127,3791408,7586049,8161052,19538509,3791408,7586049,8161052,19538509,39077018,5825477.03499995
1006,378990,711746,1265851,2356587,378990,711746,1265851,2356587,4713174,242862.7726
7835,34675,13668,6687,55030,34675,13668,6687,55030,110060,0
9940,76654,237450,77838,391942,76654,237450,77838,391942,783884,0
6800,339581,455801,756767,1552149,339581,455801,756767,1552149,3104298,73276.3714000001
5402,3313,9460,1718,14491,3313,9460,1718,14491,28982,0
9620,70758,111812,144555,327125,70758,111812,144555,327125,654250,0
5945,18794,15842,14337,48973,18794,15842,14337,48973,97946,0
2737,318365,148940,112596,579901,318365,148940,112596,579901,1159802,80761.6986999999
5112,1086992,1326834,2819997,5233823,1086992,1326834,2819997,5233823,10467646,758568.8021
5095,392469,529758,801913,1724140,392469,529758,801913,1724140,3448280,16283.585
7400,196820,335015,475015,1006850,196820,335015,475015,1006850,2013700,0
2739,359146,463487,59374,882007,359146,463487,59374,882007,1764014,3982.0322
2738,21859,30648,1013,53520,21859,30648,1013,53520,107040,0
2740,36745,21872,4464,63081,36745,21872,4464,63081,126162,28.0896
991,8831,9766,8000,26597,8831,9766,8000,26597,53194,0
2732,18367,12915,246515,277797,18367,12915,246515,277797,555594,0
5625,67333,124540,75524,267397,67333,124540,75524,267397,534794,0
2450,8593,9320,0,17913,8593,9320,0,17913,35826,0
8750,2720,5583,23,8326,2720,5583,23,8326,16652,0
9760,52636,84226,94440,231302,52636,84226,94440,231302,462604,0
1176,48637,50869,89527,189033,48637,50869,89527,189033,378066,0
4574,9876,5676,32962,48514,9876,5676,32962,48514,97028,0
9716,65111,120862,119392,305365,65111,120862,119392,305365,610730,0
7503,2729,1076,2928,6733,2729,1076,2928,6733,13466,0
6204,2272,350,347,2969,2272,350,347,2969,5938,0
1360,68925,206394,256117,531436,68925,206394,256117,531436,1062872,96701.3677
1141,10995,10447,422,21864,10995,10447,422,21864,43728,0
1018,12181,11138,46,23365,12181,11138,46,23365,46730,0
2123,157302,366176,182092,705570,157302,366176,182092,705570,1411140,0
1282,22129,12930,10618,45677,22129,12930,10618,45677,91354,0
3501,7304,99710,10382,117396,7304,99710,10382,117396,234792,0
2435,1564,922,172,2658,1564,922,172,2658,5316,0
5253,96513,306864,197853,601230,96513,306864,197853,601230,1202460,0
9668,5099,6427,9357,20883,5099,6427,9357,20883,41766,0
2599,331162,493171,608825,1433158,331162,493171,608825,1433158,2866316,456664.3246
8536,12711,14669,10218,37598,12711,14669,10218,37598,75196,0
5626,48957,50000,67684,166641,48957,50000,67684,166641,333282,0
1993,4698,335,1053,6086,4698,335,1053,6086,12172,0
2195,121666,249374,117238,488278,121666,249374,117238,488278,976556,779.9159
2239,78729,110011,132694,321434,78729,110011,132694,321434,642868,0
5130,35286,77774,97641,210701,35286,77774,97641,210701,421402,0
4304,21078,9491,165,30734,21078,9491,165,30734,61468,0
5254,13318,19683,18178,51179,13318,19683,18178,51179,102358,0
6216,39669,56441,7574,103684,39669,56441,7574,103684,207368,0
5894,23492,23385,31950,78827,23492,23385,31950,78827,157654,0
6237,10549,8627,11458,30634,10549,8627,11458,30634,61268,0
3018,29536,37072,59036,125644,29536,37072,59036,125644,251288,84921.0513
5876,318296,812146,213638,1344080,318296,812146,213638,1344080,2688160,74434.5053
1112,107205,194543,251419,553167,107205,194543,251419,553167,1106334,0
1381,3090,4173,14245,21508,3090,4173,14245,21508,43016,0
6027,70428,57378,331257,459063,70428,57378,331257,459063,918126,0
9968,4337,7338,17764,29439,4337,7338,17764,29439,58878,0
5403,10446,21256,19230,50932,10446,21256,19230,50932,101864,0
5693,437372,361454,394223,1193049,437372,361454,394223,1193049,2386098,0
8346,379881,317498,335450,1032829,379881,317498,335450,1032829,2065658,39414.1803
8345,420988,596675,479007,1496670,420988,596675,479007,1496670,2993340,73586.2834
3341,100807,108750,52533,262090,100807,108750,52533,262090,524180,3651.5274
5530,15438,2243,4242,21923,15438,2243,4242,21923,43846,0
6801,54683,106420,240755,401858,54683,106420,240755,401858,803716,0
2053,10885,19550,6246,36681,10885,19550,6246,36681,73362,0
2944,31552,45195,68241,144988,31552,45195,68241,144988,289976,0
5500,28680,61365,46850,136895,28680,61365,46850,136895,273790,0
8496,57988,37040,62643,157671,57988,37040,62643,157671,315342,0
7565,4175,3394,1861,9430,4175,3394,1861,9430,18860,0
7259,1307,2286,722,4315,1307,2286,722,4315,8630,0
9938,16308,27784,16756,60848,16308,27784,16756,60848,121696,0
7200,20309,21518,11324,53151,20309,21518,11324,53151,106302,0
5875,43111,57745,40469,141325,43111,57745,40469,141325,282650,0
2045,491,23,0,514,491,23,0,514,1028,0
2779,23603,39273,42627,105503,23603,39273,42627,105503,211006,0
9251,42,5,22,69,42,5,22,69,138,0
5552,287725,233625,441749,963099,287725,233625,441749,963099,1926198,0
6872,411806,386409,611065,1409280,411806,386409,611065,1409280,2818560,0
1560,5565,4253,4653,14471,5565,4253,4653,14471,28942,0
9889,59688,47336,32447,139471,59688,47336,32447,139471,278942,0
8823,1969,971,0,2940,1969,971,0,2940,5880,0
3809,269281,270661,230395,770337,269281,270661,230395,770337,1540674,47839.8501
9789,73746,128829,113324,315899,73746,128829,113324,315899,631798,0
3449,45354,95772,15020,156146,45354,95772,15020,156146,312292,0
8049,77043,109900,32632,219575,77043,109900,32632,219575,439150,126.0998
2554,10560,2180,3012,15752,10560,2180,3012,15752,31504,0
6464,450,136,0,586,450,136,0,586,1172,0
8514,63105,95112,49830,208047,63105,95112,49830,208047,416094,0
5268,1300276,4965718,2400669,8666663,1300276,4965718,2400669,8666663,17333326,1866958.437
6810,108095,141181,239879,489155,108095,141181,239879,489155,978310,0
2603,7986,17488,13800,39274,7986,17488,13800,39274,78548,0
3230,392766,626021,236721,1255508,392766,626021,236721,1255508,2511016,695181.596499996
3231,1480996,2790357,1084379,5355732,1480996,2790357,1084379,5355732,10711464,1477458.2629
4012,5077,580,1807,7464,5077,580,1807,7464,14928,0
7932,211,5,154,370,211,5,154,370,740,0
4187,11800,2550,3262,17612,11800,2550,3262,17612,35224,0
5081,146526,192722,301868,641116,146526,192722,301868,641116,1282232,0
2240,85789,113647,111764,311200,85789,113647,111764,311200,622400,0
2892,17518,28218,26021,71757,17518,28218,26021,71757,143514,0
5006,41836,200249,89364,331449,41836,200249,89364,331449,662898,0
5886,91110,200650,255320,547080,91110,200650,255320,547080,1094160,278492.7856
8429,11869,10940,8178,30987,11869,10940,8178,30987,61974,0
5404,459179,806261,850033,2115473,459179,806261,850033,2115473,4230946,0
2190,140705,130767,51115,322587,140705,130767,51115,322587,645174,0
2191,64105,55641,29356,149102,64105,55641,29356,149102,298204,0
2697,40459,37141,68277,145877,40459,37141,68277,145877,291754,0
5096,47903,36459,184066,268428,47903,36459,184066,268428,536856,0
5064,915882,1519513,1723333,4158728,915882,1519513,1723333,4158728,8317456,1032525.3884
4715,98697,52424,158819,309940,98697,52424,158819,309940,619880,0
1437,235448,449140,670356,1354944,235448,449140,670356,1354944,2709888,0
1438,147476,176943,199859,524278,147476,176943,199859,524278,1048556,0
6074,33222,27203,59967,120392,33222,27203,59967,120392,240784,0
5687,133030,100334,264207,497571,133030,100334,264207,497571,995142,61230.6265
4175,460,82,240,782,460,82,240,782,1564,0
8050,205,147,330,682,205,147,330,682,1364,0
8618,2081,681,0,2762,2081,681,0,2762,5524,0
8051,45717,110962,45857,202536,45717,110962,45857,202536,405072,6734.3725
9023,10272,7785,3581,21638,10272,7785,3581,21638,43276,0
6812,256210,333236,300718,890164,256210,333236,300718,890164,1780328,307757.8419
6958,83133,162357,249585,495075,83133,162357,249585,495075,990150,0
7289,17287,22558,12522,52367,17287,22558,12522,52367,104734,560.7871
7006,2357,3219,512,6088,2357,3219,512,6088,12176,0
8807,40873,24146,17970,82989,40873,24146,17970,82989,165978,0
3623,166720,143737,154522,464979,166720,143737,154522,464979,929958,0
5702,5259,10805,2411,18475,5259,10805,2411,18475,36950,0
2222,22119,37968,15229,75316,22119,37968,15229,75316,150632,0
7290,20,46,1,67,20,46,1,67,134,0
2422,21366,1793,1056,24215,21366,1793,1056,24215,48430,0
4182,1367,436,1045,2848,1367,436,1045,2848,5696,0
7501,59342,29014,63590,151946,59342,29014,63590,151946,303892,0
3502,10,2161,0,2171,10,2161,0,2171,4342,0
4317,2742,1380,0,4122,2742,1380,0,4122,8244,0
1865,13403,7058,8397,28858,13403,7058,8397,28858,57716,0
7085,5894,8117,16782,30793,5894,8117,16782,30793,61586,0
5483,117757,333588,493686,945031,117757,333588,493686,945031,1890062,0
8500,167470,128712,52746,348928,167470,128712,52746,348928,697856,0
8565,91638,71541,80563,243742,91638,71541,80563,243742,487484,0
2945,26311,40712,35037,102060,26311,40712,35037,102060,204120,0
1975,3574,1982,2477,8033,3574,1982,2477,8033,16066,0
3176,153735,190836,304101,648672,153735,190836,304101,648672,1297344,0
6873,24506,37324,68816,130646,24506,37324,68816,130646,261292,0
2743,8202,1466,2618,12286,8202,1466,2618,12286,24572,0.0805
2550,40554,11318,12435,64307,40554,11318,12435,64307,128614,4.9419
2549,100219,64425,32008,196652,100219,64425,32008,196652,393304,4544.6956
9767,34283,62871,38219,135373,34283,62871,38219,135373,270746,0
9107,28817,55772,33582,118171,28817,55772,33582,118171,236342,0
2279,34009,53785,28982,116776,34009,53785,28982,116776,233552,0
2280,7561,8706,2931,19198,7561,8706,2931,19198,38396,0
5927,11617,12643,8118,32378,11617,12643,8118,32378,64756,0
6200,2066,1364,684,4114,2066,1364,684,4114,8228,0
1658,121661,207883,65896,395440,121661,207883,65896,395440,790880,7478.88010000001
7008,92879,159407,49473,301759,92879,159407,49473,301759,603518,379.7847
9791,22244,34987,26534,83765,22244,34987,26534,83765,167530,0
6913,136587,183691,175862,496140,136587,183691,175862,496140,992280,0
1395,248649,295323,185003,728975,248649,295323,185003,728975,1457950,0
1179,24055,35045,51717,110817,24055,35045,51717,110817,221634,0
5324,13422,21289,31820,66531,13422,21289,31820,66531,133062,0
2946,34209,108785,21373,164367,34209,108785,21373,164367,328734,0
5689,78837,51464,107409,237710,78837,51464,107409,237710,475420,0
4124,451,363,0,814,451,363,0,814,1628,0
3811,94348,9197,37522,141067,94348,9197,37522,141067,282134,0
2536,7895,855,1164,9914,7895,855,1164,9914,19828,0
3812,220677,20937,130314,371928,220677,20937,130314,371928,743856,0
4412,15270,11652,2049,28971,15270,11652,2049,28971,57942,0
992,13731,23873,18132,55736,13731,23873,18132,55736,111472,0
3680,30361,5044,13023,48428,30361,5044,13023,48428,96856,0
1439,192781,270822,418777,882380,192781,270822,418777,882380,1764760,0
3562,634,13788,2475,16897,634,13788,2475,16897,33794,0
3238,35462,44015,17343,96820,35462,44015,17343,96820,193640,0
5682,86919,95901,53359,236179,86919,95901,53359,236179,472358,0
