NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1314 Entries & Exits,Interchanges
5131,301145,453566,886409,1641120,301145,453566,886409,1641120,3282240,0
3813,49305,2777,57852,109934,49305,2777,57852,109934,219868,0
3801,73734,5596,46514,125844,73734,5596,46514,125844,251688,42346.6639
3982,161435,14503,103058,278996,161435,14503,103058,278996,557992,0
8976,627879,846354.5,325482,1799715.5,627879,846354.5,325482,1799715.5,3599431,219085.3799
9090,17358,28109,18268,63735,17358,28109,18268,63735,127470,0
4435,11840,5160,225,17225,11840,5160,225,17225,34450,0
4440,467,223,0,690,467,223,0,690,1380,0
3602,95501,61968,37412,194881,95501,61968,37412,194881,389762,0
2448,21228,14882,4466,40576,21228,14882,4466,40576,81152,0
4303,61489,92036,166,153691,61489,92036,166,153691,307382,0
2552,108669,37627,38567,184863,108669,37627,38567,184863,369726,0
8600,65,49,0,114,65,49,0,114,228,0
8601,1188,798,0,1986,1188,798,0,1986,3972,0
8602,337,151,0,488,337,151,0,488,976,0
7662,72,16,0,88,72,16,0,88,176,0
7286,7897,13137,4107,25141,7897,13137,4107,25141,50282,0
4529,50165,72834,84711,207710,50165,72834,84711,207710,415420,0
2287,4544,1851,1911,8306,4544,1851,1911,8306,16612,0
1404,210811,307543,900442,1418796,210811,307543,900442,1418796,2837592,0
3000,34320,35104,151603,221027,34320,35104,151603,221027,442054,0
1036,6311,7872,16511,30694,6311,7872,16511,30694,61388,0
9310,3023,5823,1689,10535,3023,5823,1689,10535,21070,0
5550,68443,49453,72978,190874,68443,49453,72978,190874,381748,0
5160,3007,3920,5102,12029,3007,3920,5102,12029,24058,0
2939,4785,4499,1084,10368,4785,4499,1084,10368,20736,0
2641,22988,16224,15624,54836,22988,16224,15624,54836,109672,0
8353,47863,22710,19493,90066,47863,22710,19493,90066,180132,0
2255,85165,124123,133960,343248,85165,124123,133960,343248,686496,0
2350,128868,240582,109030,478480,128868,240582,109030,478480,956960,0
2125,156166,156541,258059,570766,156166,156541,258059,570766,1141532,0
9695,19244,26975,10202,56421,19244,26975,10202,56421,112842,0
9759,126757,233600,179489,539846,126757,233600,179489,539846,1079692,0
5132,84583,91661,318804,495048,84583,91661,318804,495048,990096,0
