NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
5398,2261,3100,2986,8347,2261,3100,2986,8347,16694,0
5906,13310,14643,16402,44355,13310,14643,16402,44355,88710,0
6083,13115,7985,35075,56175,13115,7985,35075,56175,112350,0
1953,15606,2095,18509,36210,15606,2095,18509,36210,72420,0
6233,4577,1378,901,6856,4577,1378,901,6856,13712,0
2095,11902,2766,1643,16311,11902,2766,1643,16311,32622,0
1380,1411,2204,2059,5674,1411,2204,2059,5674,11348,0
1004,40551,74524,57321,172396,40551,74524,57321,172396,344792,42369
1074,11334,5899,2770,20003,11334,5899,2770,20003,40006,0
2584,32987,79754,71036,183777,32987,79754,71036,183777,367554,0
8608,173,66,0,239,173,66,0,239,478,0
1624,19350,2945,7079,29374,19350,2945,7079,29374,58748,0
7367,26360,35096,15249,76705,26360,35096,15249,76705,153410,0
9457,8595,7809,2505,18909,8595,7809,2505,18909,37818,0
7017,71492,102357,187454,361303,71492,102357,187454,361303,722606,2275
2215,19134,19763,15899,54796,19134,19763,15899,54796,109592,0
8610,26499,35099,888,62486,26499,35099,888,62486,124972,72
3265,3912,3592,616,8120,3912,3592,616,8120,16240,0
3200,22383,2002,9839,34224,22383,2002,9839,34224,68448,0
5714,17649,81814,6139,105602,17649,81814,6139,105602,211204,0
1492,162294,160674,189600,512568,162294,160674,189600,512568,1025136,5094
1090,5795,7463,11348,24606,5795,7463,11348,24606,49212,0
5162,18197,12942,16950,48089,18197,12942,16950,48089,96178,0
5197,10831,16792,9379,37002,10831,16792,9379,37002,74004,0
9463,262624,277269,172073,711966,262624,277269,172073,711966,1423932,42873
2187,42920,43948,6984,93852,42920,43948,6984,93852,187704,0
4186,2485,3493,4508,10486,2485,3493,4508,10486,20972,0
5681,27226,19466,21726,68418,27226,19466,21726,68418,136836,0
8552,43040,35992,27813,106845,43040,35992,27813,106845,213690,0
9763,16740,12839,14980,44559,16740,12839,14980,44559,89118,0
5492,8867,15335,27319,51521,8867,15335,27319,51521,103042,0
6084,66007,70592,91263,227862,66007,70592,91263,227862,455724,0
5399,448861,484257,1593003,2526121,448861,484257,1593003,2526121,5052242,243431
9862,84952,98994,85779,269725,84952,98994,85779,269725,539450,0
9013,42,21,339,402,42,21,339,402,804,0
2561,25986,4240,4804,35030,25986,4240,4804,35030,70060,0
2820,6836,5331,54,12221,6836,5331,54,12221,24442,0
8839,1106,1133,0,2239,1106,1133,0,2239,4478,0
4502,210396,419415,223321,853132,210396,419415,223321,853132,1706264,342418
2471,60342,208914,26733,295989,60342,208914,26733,295989,591978,663
2238,24800,39722,20983,85505,24800,39722,20983,85505,171010,0
5348,11127,6261,36654,54042,11127,6261,36654,54042,108084,0
9466,24905,20775,21875,67555,24905,20775,21875,67555,135110,0
7563,893,1035,841,2769,893,1035,841,2769,5538,0
2690,48047,4312,13517,65876,48047,4312,13517,65876,131752,0
