NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,Interchanges
5398,2531,4155,5530,12216,2531,4155,5530,12216,24432,
5906,14001,15273,22547,51821,14001,15273,22547,51821,103642,
6083,15579,8868,40651,65098,15579,8868,40651,65098,130196,
1953,19932,611,10762,31305,19932,611,10762,31305,62610,
6233,3498,2568,1890,7956,3498,2568,1890,7956,15912,
2095,9516,2765,2758,15039,9516,2765,2758,15039,30078,
1380,1348,2682,2192,6222,1348,2682,2192,6222,12444,
1004,43072,86119,93391,222582,43072,86119,93391,222582,445164,48243.9609
1074,20537,12670,5575,38782,20537,12670,5575,38782,77564,
2584,35034,89178,87817,212029,35034,89178,87817,212029,424058,
8608,407,77,0,484,407,77,0,484,968,
1624,25871,4071,9957,39899,25871,4071,9957,39899,79798,
7367,28057,39078,18374,85509,28057,39078,18374,85509,171018,
9457,10797,11107,5980,27884,10797,11107,5980,27884,55768,
7017,77126,106518,191953,375597,77126,106518,191953,375597,751194,5392.1599
2215,21111,1408,16746,39265,21111,1408,16746,39265,78530,
8610,27008,37608,1410,66026,27008,37608,1410,66026,132052,13.5628
3265,4295,4080,758,9133,4295,4080,758,9133,18266,
3200,30085,3076,11160,44321,30085,3076,11160,44321,88642,
5714,20725,108684,10393,139802,20725,108684,10393,139802,279604,
1492,164231,164348,201680,530259,164231,164348,201680,530259,1060518,2637.9577
1090,7786,9783,18996,36565,7786,9783,18996,36565,73130,
5162,16418,13978,19066,49462,16418,13978,19066,49462,98924,
5197,10299,15496,9883,35678,10299,15496,9883,35678,71356,
9463,267898,302668,191143,761709,267898,302668,191143,761709,1523418,41716.046
2187,82089,5537,8272,95898,82089,5537,8272,95898,191796,
4186,4548,2056,3215,9819,4548,2056,3215,9819,19638,
5681,30349,21612,22743,74704,30349,21612,22743,74704,149408,
8552,40514,34072,35562,110148,40514,34072,35562,110148,220296,
9763,20454,16992,17132,54578,20454,16992,17132,54578,109156,
5492,11279,20760,28952,60991,11279,20760,28952,60991,121982,
6084,75459,83452,99607,258518,75459,83452,99607,258518,517036,
5399,646276,821093,1764622,3231991,646276,821093,1764622,3231991,6463982,383629.5324
9862,80005,105822,90629,276456,80005,105822,90629,276456,552912,
9013,48,19,90,157,48,19,90,157,314,
2561,27779,6248,7412,41439,27779,6248,7412,41439,82878,
2820,6176,5816,533,12525,6176,5816,533,12525,25050,
8839,1674,990,0,2664,1674,990,0,2664,5328,
4502,229809,455129,286257,971195,229809,455129,286257,971195,1942390,316954.2332
2471,100544,209097,28788,338429,100544,209097,28788,338429,676858,1486.54
2238,25827,38804,22709,87340,25827,38804,22709,87340,174680,
5348,19363,11446,33265,64074,19363,11446,33265,64074,128148,
9466,24792,20966,25496,71254,24792,20966,25496,71254,142508,
7563,1490,1720,1328,4538,1490,1720,1328,4538,9076,
2690,49503,5273,15824,70600,49503,5273,15824,70600,141200,
9764,15121,14203,20380,49704,15121,14203,20380,49704,99408,
4011,56984,7585,20928,85497,56984,7585,20928,85497,170994,
7492,963009,1389319,1361423,3713751,963009,1389319,1361423,3713751,7427502,406718.5729
5133,14640,17140,31712,63492,14640,17140,31712,63492,126984,
4445,50933,24547,11401,86881,50933,24547,11401,86881,173762,
5089,112047,149267,533698,795012,112047,149267,533698,795012,1590024,
5551,227729,228730,501790,958249,227729,228730,501790,958249,1916498,17188.2478
5580,99328,84603,129073,313004,99328,84603,129073,313004,626008,
6406,6848,22723,4747,34318,6848,22723,4747,34318,68636,3100.2665
5252,83024,169496,243125,495645,83024,169496,243125,495645,991290,865441.2746
9973,13849,11025,5558,30432,13849,11025,5558,30432,60864,
6774,198691,287449,237819,723959,198691,287449,237819,723959,1447918,17824.306
5725,10438,167358,8423,186219,10438,167358,8423,186219,372438,
1096,43040,29045,55970,128055,43040,29045,55970,128055,256110,31950.9536
9674,105037,85663,133623,324323,105037,85663,133623,324323,648646,
9467,1543,878,224,2645,1543,878,224,2645,5290,
6212,674,194,20,888,674,194,20,888,1776,
1954,142858,88524,49966,281348,142858,88524,49966,281348,562696,17118.8521
1903,10412,12333,14930,37675,10412,12333,14930,37675,75350,
3805,163934,12437,76765,253136,163934,12437,76765,253136,506272,
3806,65959,3059,19158,88176,65959,3059,19158,88176,176352,
3807,173090,25175,110341,308606,173090,25175,110341,308606,617212,
9020,42,1,0,43,42,1,0,43,86,
6207,19422,2852,1575,23849,19422,2852,1575,23849,47698,
7494,387340,343480,579939,1310759,387340,343480,579939,1310759,2621518,
5520,561710,1023422,1007333,2592465,561710,1023422,1007333,2592465,5184930,823836.480500001
5090,9761,11678,16408,37847,9761,11678,16408,37847,75694,
3271,525279,1769915,545412,2840606,525279,1769915,545412,2840606,5681212,178949.2159
9311,167793,152198,115510,435501,167793,152198,115510,435501,871002,
8484,39046,43216,56120,138382,39046,43216,56120,138382,276764,
7909,631,121,0,752,631,121,0,752,1504,
5420,208239,275512,751202,1234953,208239,275512,751202,1234953,2469906,95771.3734
5215,47886,110622,57196,215704,47886,110622,57196,215704,431408,
6870,1650,1596,2677,5923,1650,1596,2677,5923,11846,
6006,6717,5938,6997,19652,6717,5938,6997,19652,39304,
3047,199747,158888,328566,687201,199747,158888,328566,687201,1374402,
2420,289,181,10,480,289,181,10,480,960,
