NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0607        Entries & Exits," 0607 Interchanges"
5398,1396,1920,3866,7182,1843,1841,3866,7550,14732,0
5906,7743,13159,13821,34723,8105,14626,13821,36552,71275,0
6083,10168,7082,36058,53308,10940,7707,36058,54705,108013,0
1953,5236,9573,11166,25975,5306,11142,11166,27614,53589,0
6233,5105,2525,2661,10291,5369,3042,2661,11072,21363,0
2095,7460,1091,1648,10199,8113,1072,1648,10833,21032,0
1380,1090,2912,1171,5173,1226,2982,1171,5379,10552,0
1004,33647,48140,514,82301,36682,48201,514,85397,167698,18577
1074,790,405,305,1500,913,444,305,1662,3162,0
2584,32649,65608,19684,117941,24026,69711,19684,113421,231362,0
8608,150,61,0,211,166,62,0,228,439,0
1624,10483,1380,3983,15846,12088,1416,3983,17487,33333,0
7367,18636,34987,21945,75568,20671,36258,21945,78874,154442,0
9457,8291,7761,2843,18895,9497,7771,2843,20111,39006,0
7017,62026,91388,208743,362157,70002,87978,208743,366723,728880,2471
2215,16635,23229,3263,43127,19565,23245,3263,46073,89200,0
8610,24071,25426,905,50402,24229,25758,905,50892,101294,45
3265,3362,2758,1021,7141,2975,2751,1021,6747,13888,0
3200,14109,2410,8203,24722,12445,2464,8203,23112,47834,0
5714,14859,68518,6324,89701,15305,70495,6324,92124,181825,0
1492,133882,209141,201276,544299,136971,209877,201276,548124,1092423,3046
5162,16736,10600,12531,39867,17203,10774,12531,40508,80375,0
5197,10669,20895,16030,47594,13165,20923,16030,50118,97712,0
9463,288225,276317,145208,709750,285814,276309,145208,707331,1417081,32086
2187,8846,11886,2287,23019,15775,11935,2287,29997,53016,0
4186,1760,1541,541,3842,2100,1540,541,4181,8023,0
5681,20319,17517,19179,57015,23044,19003,19179,61226,118241,0
8552,40942,26644,10845,78431,54102,27373,10845,92320,170751,0
9763,11080,8313,7374,26767,14920,8315,7374,30609,57376,0
5492,8899,13974,31268,54141,9626,14471,31268,55365,109506,0
6084,47647,65132,97508,210287,51466,68374,97508,217348,427635,0
5399,341038,430160,1951954,2723152,348220,432058,1951954,2732232,5455384,156283
