" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits 0405",Interchanges
3271,496482,1027923,345022.595,1869427.595,492827,1019623,345022.595,1857472.595,3726900,94968
6133,345720,917192,577917.605,1840829.605,349034,921948,577917.605,1848899.605,3689729,715674
5122,314595.6476,429231.9754,1097294.36,1841121.983,284390.1507,431847.9754,1097294.36,1813532.4861,3654654,272193
5124,271503,433559,1038357.09,1743419.09,298057,421524,1038357.09,1757938.09,3501357,269629
6092,452613.9351,719227.9742,576933.9025,1748775.8118,450586.9656,719497.9742,576933.9025,1747018.8423,3495795,166501
5490,231169,539781.22,964394.635,1735344.855,235580,541619.32,964394.635,1741593.955,3476939,523563
7464,446918.8168,366092.6841,966038.1496,1779049.6505,326974.6564,365914.6841,966038.1496,1658927.4901,3437977,276540
3147,365106,615872,642772.44,1623750.44,369188,636411,642772.44,1648371.44,3272122,341503
5360,426330.5115,458103.3936,745866.3987,1630300.3038,434095.245,458923.3936,745866.3987,1638885.0373,3269185,168095
5565,348240.2479,555979.0465,639904.0351,1544123.3295,422717.1508,556579.1028,639904.0351,1619200.2887,3163324,
5399,311175.4588,304848.8925,969092.1018,1585116.4531,302183.858,305023.3631,969092.1018,1576299.3229,3161416,95752
5924,333135,574175,674759.215,1582069.215,316839,586839,674759.215,1578437.215,3160506,81128
1419,391800.2937,388691.5972,860954.3682,1641446.2591,261015.4308,388072.9391,860954.3682,1510042.7381,3151489,
5230,248547,479322,839451.3518,1567320.3518,242136,500527,839451.3518,1582114.3518,3149435,23583
5574,327454.4256,580630.2846,631832.732,1539917.4422,354942.1866,580150.5915,631832.732,1566925.5101,3106843,214375
2753,814528,566321,169652.715,1550501.715,797828,567104,169652.715,1534584.715,3085086,1014815
5448,147493,766862,616326.65,1530681.65,163827,754185,616326.65,1534338.65,3065020,3908
1536,223916.16,737541,539962.5352,1501419.6952,259542.99,763075,539962.5352,1562580.5252,3064000,121322
5537,342579,807945,331532.97,1482056.97,394679,844228,331532.97,1570439.97,3052497,9476
5478,253402,561897,662097.595,1477396.595,266593,558937,662097.595,1487627.595,2965024,745029
6881,287563.0852,402346.5209,791416.5779,1481326.184,257776.6836,401440.5462,791416.5779,1450633.8077,2931960,8077
5101,263148.63,334501.16,842370.3496,1440020.1396,277511.82,334184.88,842370.3496,1454067.0496,2894087,417878
5199,258672,390645,794389.605,1443706.605,280461,374569,794389.605,1449419.605,2893126,24192
6888,262417,362406,809272.495,1434095.495,255428,362457,809272.495,1427157.495,2861253,1589707
5584,311992.0637,290502.9049,837498.4608,1439993.4294,287925.5116,290263.4029,837498.4608,1415687.3753,2855681,
9683,571874,381925,471865.68,1425664.68,553049,381884,471865.68,1406798.68,2832463,56447
7456,296236,629908,426950.73,1353094.73,375013,636084,426950.73,1438047.73,2791142,7606
6417,517087,698135,165283.525,1380505.525,522516,704195,165283.525,1391994.525,2772500,1114894
1512,177584,498233,698706.4,1374523.4,185184,511953,698706.4,1395843.4,2770367,30573
6871,169878,241106,934163.845,1345147.845,177481,241667,934163.845,1353311.845,2698460,
1823,409356,738296,169300.925,1316952.925,398188,739136,169300.925,1306624.925,2623578,431759
1543,154982,347855.46,758802.99,1261640.45,153327,360421.44,758802.99,1272551.43,2534192,
6872,293922.3435,255683.0951,688779.8419,1238385.2805,292302.2117,255805.0951,688779.8419,1236887.1487,2475272,
7439,293337,242655,683691.305,1219683.305,301326,242924,683691.305,1227941.305,2447625,
7309,345707,745204,153097.275,1244008.275,347896,676605,153097.275,1177598.275,2421607,254349
5329,182399,466898,557868.45,1207165.45,180481,460025,557868.45,1198374.45,2405540,427120
8345,460031,616777,79950.455,1156758.455,508528,655964,79950.455,1244442.455,2401201,9667
7443,258616,211286,716020.62,1185922.62,260169,211602,716020.62,1187791.62,2373714,47716
5125,185696.11,192931.0966,808976.5942,1187603.8008,171345.9037,193108.0966,808976.5942,1173430.5945,2361034,
5521,310736,358402,507105.655,1176243.655,317149,359296,507105.655,1183550.655,2359794,2099
1030,378746,701701,95551.645,1175998.645,389610,698481,95551.645,1183642.645,2359641,155478
5569,252943.4522,309302.5433,635740.9019,1197986.8974,216429.9193,309018.6121,635740.9019,1161189.4333,2359176,120244
5345,331514.7545,286412.9679,624746.7159,1242674.4383,176042.553,286936.5456,624746.7159,1087725.8145,2330400,
5004,227052,363760,553462.6123,1144274.6123,237782,350831,553462.6123,1142075.6123,2286350,260932
5255,277190,418387,445604.59,1141181.59,260837,418253,445604.59,1124694.59,2265876,6943
6844,110460,276474,742790.455,1129724.455,105886,282785,742790.455,1131461.455,2261186,104149
3333,242661,555615,325830.425,1124106.425,252609,555173,325830.425,1133612.425,2257719,119994
7491,138374.131,165329.6926,790421.2129,1094125.0365,196974.3499,165368.5758,790421.2129,1152764.1386,2246889,
5172,162544,289871.6,665478.5767,1117894.1767,170321,293045.75,665478.5767,1128845.3267,2246740,9368
5094,167635.6604,150804.8954,812244.2091,1130684.7649,147276.6634,151268.6954,812244.2091,1110789.5679,2241474,
2412,307679,735644,82382.435,1125705.435,296646,734327,82382.435,1113355.435,2239061,388421
6800,214034,292396,599856.27,1106286.27,215132,294568,599856.27,1109556.27,2215843,42985
8437,422347,616370,72460.165,1111177.165,414056,616472,72460.165,1102988.165,2214165,219198
5131,162906.1855,218752.9979,731411.0044,1113070.1878,138204.0491,218855.9879,731411.0044,1088471.0414,2201541,
5876,276565,545860,274109.49,1096534.49,277939,550881,274109.49,1102929.49,2199464,86355
3030,218921,408980,465331.91,1093232.91,212654,410705,465331.91,1088690.91,2181924,338476
7494,265592,277889,512038.495,1055519.495,271453,278282,512038.495,1061773.495,2117293,
5279,184805,521696,338180.035,1044681.035,195145,512942,338180.035,1046267.035,2090948,144005
3900,287476,404762,365746.28,1057984.28,244688,404132,365746.28,1014566.28,2072551,267291
5150,259721.8043,206828.2796,608726.0371,1075276.121,175161.5195,205984.8382,608726.0371,989872.3948,2065149,
1218,313157,628505,80439.8,1022101.8,331389,624775,80439.8,1036603.8,2058706,153254
5362,183243.16,242160.3843,599636.3447,1025039.889,165996.7541,242432.0143,599636.3447,1008065.1131,2033105,
5309,173957,326744,508377.34,1009078.34,188134,326966,508377.34,1023477.34,2032556,68327
5152,222128.1466,270126.15,543848.8245,1036103.1211,182153.9798,269754,543848.8245,995756.8043,2031860,
5670,278857.5148,364714.3358,363520.0057,1007091.8563,292144.2488,360883.3358,363520.0057,1016547.5903,2023639,185287
7217,233872,492760,287410.985,1014042.985,239532,476314,287410.985,1003256.985,2017300,151696
5007,209855,451225,325633.225,986713.225,235602,467338,325633.225,1028573.225,2015286,11865
6891,128678,219776,658122.005,1006576.005,129165,220069,658122.005,1007356.005,2013932,221314
5491,176190,314433,510208.9806,1000831.9806,201685,298791,510208.9806,1010684.9806,2011517,533858
5246,117817.1257,178861.7812,685706.7336,982385.6405,160246.8287,177640.6412,685706.7336,1023594.2035,2005980,115397
6183,242196,299756,459016.35,1000968.35,244238,297974,459016.35,1001228.35,2002197,68189
5107,155247,195606.0642,656272.2021,1007125.2663,131834,195455.0642,656272.2021,983561.2663,1990687,417560
5169,207059,315015,469886.105,991960.105,217589,305706,469886.105,993181.105,1985141,296589
5095,181032.414,223756.465,590144.3188,994933.1978,171328.3022,224411.465,590144.3188,985884.086,1980817,27028
8126,256490,509799,222239.125,988528.125,242259,508272,222239.125,972770.125,1961298,74033
6086,231284,327121,409373.89,967778.89,244797,326053,409373.89,980223.89,1948003,43222
