NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1213 Entries & Exits,Interchanges
5131,282907,437048,867760,1587715,282907,437048,867760,1587715,3175430,
3813,51294,2244,51273,104811,51294,2244,51273,104811,209622,
3801,77352,3068,41554,121974,77352,3068,41554,121974,243948,35870.8949
3982,168649,10702,96867,276218,168649,10702,96867,276218,552436,
8976,540996,831058,296982,1669036,540996,831058,296982,1669036,3338072,200863.5489
9090,17151,27640,17358,62149,17151,27640,17358,62149,124298,
4435,11271,5535,0,16806,11271,5535,0,16806,33612,
4440,424,183,0,607,424,183,0,607,1214,
3602,95619,62901,31178,189698,95619,62901,31178,189698,379396,
2448,21737,14849,4152,40738,21737,14849,4152,40738,81476,
4303,65640,95446,195,161281,65640,95446,195,161281,322562,
2552,113334,39008,29431,181773,113334,39008,29431,181773,363546,
8600,64,18,0,82,64,18,0,82,164,
8601,1079,704,0,1783,1079,704,0,1783,3566,
8602,359,168,0,527,359,168,0,527,1054,
7662,78,14,0,92,78,14,0,92,184,
7286,8555,12999,4624,26178,8555,12999,4624,26178,52356,
4529,46257,70510,77529,194296,46257,70510,77529,194296,388592,
2287,4355,1612,1899,7866,4355,1612,1899,7866,15732,
1404,194218,279756,645148,1119122,194218,279756,645148,1119122,2238244,
3000,31379,32399,128212,191990,31379,32399,128212,191990,383980,
1036,5571,6426,15192,27189,5571,6426,15192,27189,54378,
9310,3058,6453,2123,11634,3058,6453,2123,11634,23268,
5550,65840,47760,71998,185598,65840,47760,71998,185598,371196,
5160,2937,4604,6653,14194,2937,4604,6653,14194,28388,
2939,4542,3909,1675,10126,4542,3909,1675,10126,20252,
2641,25979,14821,13900,54700,25979,14821,13900,54700,109400,
8353,51026,25829,47187,124042,51026,25829,47187,124042,248084,
2255,74833,135271,97083,307187,74833,135271,97083,307187,614374,
2350,136011,202184,111515,449710,136011,202184,111515,449710,899420,
2125,155173,238807,145372,539352,155173,238807,145372,539352,1078704,
9695,18915,26836,11040,56791,18915,26836,11040,56791,113582,
9759,127076,224159,225781,577016,127076,224159,225781,577016,1154032,
5132,80805,84586,307284,472675,80805,84586,307284,472675,945350,
4614,14053,14627,15241,43921,14053,14627,15241,43921,87842,
2760,39984,44193,25653,109830,39984,44193,25653,109830,219660,
3145,7821,13743,12545,34109,7821,13743,12545,34109,68218,
5623,211585,285739,226741,724065,211585,285739,226741,724065,1448130,149073.0192
5280,21756,41620,44050,107426,21756,41620,44050,107426,214852,
6025,124843,138277,335463,598583,124843,138277,335463,598583,1197166,47208.0207
9905,37648,38694,20624,96966,37648,38694,20624,96966,193932,
9861,42213,68483,68176,178872,42213,68483,68176,178872,357744,
1805,48067,46638,17728,112433,48067,46638,17728,112433,224866,
7520,20225,2803,7987,31015,20225,2803,7987,31015,62030,
9883,47820,107571,35041,190432,47820,107571,35041,190432,380864,
8605,9522,2687,1983,14192,9522,2687,1983,14192,28384,
7787,44578,66036,18237,128851,44578,66036,18237,128851,257702,871.074
6847,5810,5575,17286,28671,5810,5575,17286,28671,57342,
1223,25030,11655,7302,43987,25030,11655,7302,43987,87974,
6869,4399,3964,10810,19173,4399,3964,10810,19173,38346,
6532,1243,2679,316,4238,1243,2679,316,4238,8476,
8606,131,17,0,148,131,17,0,148,296,
5544,81997,117976,160319,360292,81997,117976,160319,360292,720584,
2806,48870,78778,112291,239939,48870,78778,112291,239939,479878,
1198,29417,12405,33992,75814,29417,12405,33992,75814,151628,
1678,5692,10923,2607,19222,5692,10923,2607,19222,38444,
5250,5368,15251,9718,30337,5368,15251,9718,30337,60674,
506,340851,394058,282817,1017726,340851,394058,282817,1017726,2035452,
4236,6530,3359,317,10206,6530,3359,317,10206,20412,
6358,1599,385,1720,3704,1599,385,1720,3704,7408,
9965,79025,46139,190247,315411,79025,46139,190247,315411,630822,
5510,111678,225923,224267,561868,111678,225923,224267,561868,1123736,1108.3567
5397,81766,131697,130677,344140,81766,131697,130677,344140,688280,
6909,4057,1979,25484,31520,4057,1979,25484,31520,63040,
5267,73799,215161,143503,432463,73799,215161,143503,432463,864926,
9451,6449,55887,1415,63751,6449,55887,1415,63751,127502,
9972,172839,202580,197451,572870,172839,202580,197451,572870,1145740,
